Country,Rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,capital_cities_by_total_population,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage
Luxembourg,110,671254,154388,92633,3356,1200,0,0,120000,1,0,0,1,0,0,0,0,0,0,476,0,0,0,0,,0,0,0,0,0,0,0,0,1530685000,5203000000000,86871000000,2789000000,3,350000,0,271,2746,0,51000,0,0,594240000,0,0,34000,0,2586,0,327,37
Zambia,111,20799116,7279691,4139024,374384,15150,0,1200,,78,0,0,13,34,0,0,33,0,75,848,12,60,50,0,,0,0,0,0,0,0,0,0,385321000,16597000000,79207000000,3017000000,120,7407000,0,3126,67671,0,34000,0,0,0,0,2091000,2081000,945000000,752618,0,6043,0
Ghana,112,34589092,14873310,9961658,622604,15500,0,0,,18,0,0,2,5,2,0,9,0,0,3648,0,6,6,20,,0,0,0,0,0,0,20,0,954423756,29241000000,243124000000,3624000000,11,13927000,4,947,65725,176000,96000,660000000,3192000000,3912000000,22653000000,0,51000,0,238533,539,2420,1293
South Sudan,113,12703714,6351857,4065188,330297,185000,0,0,,19,0,0,4,0,0,0,15,6,122,2550,24,0,15,0,,0,0,0,0,0,0,0,0,30700000,2722500000,6752000000,128248000,89,5091000,0,248,90200,146000,11000,3750000000,0,0,0,0,0,0,644329,0,6018,0
North Macedonia,114,2135622,948216,783773,27763,10010,60000,3500,,20,0,0,0,10,0,0,10,4,0,1878,0,156,18,0,,0,0,0,0,0,0,0,0,421527100,5637000000,43844000000,5252000000,13,779200,0,699,15170,0,24000,0,0,274928000,0,4000000,5344000,332000000,25713,0,838,0
Dominican Republic,115,10815857,4975294,4034315,97343,89000,189000,30000,,80,0,8,11,17,1,0,49,0,6,930,0,14,0,34,,0,0,0,0,0,0,14,0,903000000,35044000000,276884000000,13471000000,32,5413000,17,496,19705,0,146000,0,0,2440000000,0,0,2356000,0,48320,1288,376,0
Nicaragua,116,6676948,3271705,2777610,146893,45000,0,5500,,17,0,0,5,1,0,0,12,0,186,6344,0,347,151,23,,0,0,0,0,0,0,23,0,1311600000,6753000000,52989000000,6105000000,39,3225000,5,0,24033,200,28000,0,0,0,0,0,0,0,130370,910,1253,2220
Republic of the Congo,117,6097665,2256136,1353682,115856,10000,0,2500,,14,2,0,4,0,0,0,8,1,61,804,3,38,30,4,,0,0,0,0,0,0,0,0,933360000,6360000000,39147000000,715391000,56,2563000,5,510,23324,267000,13000,2885000000,423000000,423000000,283990000000,0,0,0,342000,169,5008,1120
Lebanon,118,5364482,2092148,1775644,69738,80000,15000,65000,,80,0,9,0,9,0,0,68,0,334,6912,12,350,11,48,,0,0,0,0,0,0,42,0,800000000,41619000000,65415000000,33301000000,8,1939000,5,401,21705,0,115000,0,0,0,0,0,166000,0,10400,225,484,0
Eritrea,119,6343956,2220385,1598677,76127,350000,680000,0,,20,1,0,5,1,0,0,13,6,148,1040,45,89,44,23,,0,0,0,0,0,0,18,0,219000000,461376000,2534000000,191694000,11,1710000,2,306,16000,0,5000,0,0,0,0,0,0,0,117600,2234,1840,0
Niger,120,26342784,7902835,5294900,447827,25000,0,5000,,26,0,2,7,0,2,0,13,2,0,1550,0,0,0,0,,0,0,0,0,0,0,0,0,488400000,3793000000,47921000000,1442772000,26,10486000,0,0,18949,13000,18000,150000000,29509000,29858000,0,427000,426000,90000000,1267000,0,5834,300
Afghanistan,121,40121552,15647405,8826741,842553,75000,0,90000,,5,0,0,2,0,0,0,3,0,0,3902,0,0,0,0,,0,0,0,0,0,0,0,0,145000000,1929750000,82238000000,8852092000,68,9133000,0,0,34903,0,58000,0,80200000,80200000,49554000000,767000,503000,66000000,652230,0,5987,1200
Namibia,122,2803660,616805,400923,30840,17567,0,5000,,36,11,0,5,13,0,0,7,2,7,2402,0,50,55,15,,0,0,0,0,0,2,15,0,450498000,9680000000,31154000000,3356000000,259,1131000,2,2628,48875,0,23000,0,0,0,62297000000,0,24000,350000000,824292,1572,4220,0
Mauritania,123,4328040,1687936,1181555,82233,31540,66000,5000,,23,0,4,7,6,2,0,4,0,51,5024,0,75,0,6,,0,0,0,0,0,0,6,0,270625000,3072000000,33069000000,2039000000,25,1210000,2,728,12253,0,32000,20000000,0,0,28317000000,0,0,0,1030700,754,5002,1086
Nepal,124,31122387,15249970,11733140,778060,98500,82000,15000,,17,0,0,7,0,0,0,10,0,0,1108,0,14,0,0,,0,0,0,0,0,0,0,0,431355326,5719000000,149643000000,12456000000,51,8435000,0,59,64500,0,71000,0,0,0,0,9000,1091000,8000000,147181,0,3159,0
Laos,125,7953556,3499565,2521277,159071,100000,30000,120000,,29,0,0,2,7,0,0,20,0,160,7725,50,97,64,51,,0,0,0,0,0,0,47,0,355600000,9619000000,66905000000,1770000000,20,3585000,0,422,59647,0,25000,0,0,0,0,16629000,15944000,62000000,236800,0,5274,4600
Senegal,126,18847519,7162057,4089912,395798,17000,0,0,,39,0,0,5,22,1,0,19,5,0,1860,0,20,6,4,,0,0,0,0,0,0,4,0,777800000,14985000000,83183000000,889295000,20,5763000,6,906,16665,9000,65000,0,54646000,54498000,0,0,138000,0,196722,531,2684,1000
Burkina Faso,127,23042199,8525614,6060098,368675,7500,0,4500,,26,0,3,2,0,2,0,19,5,0,876,0,8,9,0,,0,0,0,0,0,0,0,0,4590000000,3565000000,60001000000,47138000,49,6461000,0,622,15304,0,37000,0,0,0,0,0,0,0,274200,0,3611,0
Montenegro,128,599849,143964,85179,3599,2350,0,5500,,10,0,0,0,0,0,0,10,0,0,946,0,12,12,20,,0,0,0,0,0,0,14,0,204000000,3643000000,17375000000,1741000000,5,245300,4,250,7762,0,9000,0,0,0,0,1862000,1658000,337000000,13812,294,680,0
El Salvador,129,6628702,3181777,2512278,145831,25000,0,15000,,51,0,15,3,10,0,0,28,0,0,2144,0,76,0,13,,0,0,0,0,0,0,8,0,1037200000,12668000000,73961000000,3705000000,27,2890000,3,13,9012,3,56000,0,0,226472,0,0,500,0,21041,307,590,422
Botswana,130,2450668,1029281,617568,24507,12000,0,0,,45,10,0,9,10,0,0,16,0,45,1224,12,36,20,0,,0,0,0,0,0,0,0,0,581000000,1761000000,45553000000,3456000000,122,1173000,0,888,31747,0,22000,0,0,0,0,2242000,1351000,1660000000,581730,0,4347,0
Madagascar,131,29452714,11192031,7952233,559602,13500,0,8100,,6,0,0,1,0,0,0,5,0,12,316,0,17,0,7,,0,0,0,0,0,0,5,0,147630000,3548000000,52968000000,2785000000,93,16519000,13,836,31640,0,20000,0,0,0,0,0,472000,150000000,587040,4828,0,600
Gabon,132,2455105,932940,532758,46647,5000,0,2500,,25,6,0,3,0,0,0,16,0,0,424,0,4,28,5,,0,0,0,0,0,0,4,0,340950000,6442000000,48045000000,1447000000,42,824400,9,649,14300,204000,14000,2000000000,463000000,463000000,25995000000,0,0,0,267667,885,3261,1600
Bosnia and Herzegovina,133,3798671,2355176,1956316,49383,18000,8000,0,,15,0,0,0,0,0,0,15,0,45,892,0,300,24,0,,0,0,0,0,0,0,0,0,289920000,5359000000,64641000000,9419000000,20,1356000,1,965,8619,0,34000,0,0,225824000,0,12311000,12304000,2264000000,51197,20,1543,990
Iceland,134,364036,83728,50237,1820,0,0,0,,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,,0,0,0,0,0,0,0,0,500000000,24200000000,26561000000,6403000000,82,248400,43,0,12905,0,19000,0,0,0,0,0,137000,0,100250,4970,0,0
Panama,135,4470241,2011608,1206965,53643,16300,0,80000,,38,0,0,13,0,2,0,23,0,0,1550,0,0,0,22,,0,0,0,0,0,0,14,0,1069750000,1227085530000,164484000000,6856000000,77,2206000,12,77,11978,0,131000,0,0,389611000,0,0,863000,0,75420,2490,687,800
Moldova,136,3599528,2159717,1792565,71991,6500,2000,2000,,3,0,0,1,0,0,0,2,0,0,1598,4,67,11,0,,0,0,0,0,0,0,0,0,114114000,2637000000,39342000000,5848000000,10,1358000,0,1171,9488,0,22000,0,10000,2344000000,0,0,90000,0,33851,0,1885,558
Somalia,137,13017273,2993973,1796384,130173,30000,0,2000,,6,0,0,0,0,0,0,6,0,0,1104,0,0,0,19,,0,0,0,0,0,0,19,0,870000000,2563000000,26770000000,16747500,40,3439000,6,0,15000,0,6000,0,0,0,5663000000,0,0,0,637657,3025,2385,0
Benin,138,14697052,5584880,3189260,308638,4750,0,0,,7,0,0,1,0,1,0,5,0,0,92,0,16,0,2,,0,0,0,0,0,0,2,0,137690000,6309000000,56424000000,698900000,10,6397000,1,438,16000,0,40000,8000000,0,182131000,1133000000,0,164000,0,112622,121,2123,150
Kosovo,139,1977093,917371,743387,17794,4000,5000,500,,0,0,0,0,0,0,0,0,0,0,1357,0,0,0,0,,0,0,0,0,0,0,0,0,1177450000,785739000,25019000000,1310000000,2,500300,0,437,2248,0,16000,0,0,0,0,6924000,6931000,1564000000,10887,0,714,0
Sierra Leone,140,9121049,2006631,1203978,45605,13000,0,0,,1,0,0,0,0,0,0,1,0,0,350,0,0,0,10,,0,0,0,0,0,0,10,0,450000000,1451000000,26728000000,495699000,8,2863000,3,0,11701,0,9000,0,0,0,0,0,0,0,71740,402,1093,800
Liberia,141,5437249,2392390,1913912,65247,2100,0,5500,,0,0,0,0,0,0,0,0,0,0,550,0,0,0,6,,0,0,0,0,0,0,6,0,20700000,1335000000,9308000000,599660000,19,2607000,4,429,10600,0,5000,0,0,0,0,0,0,0,111369,579,1667,0
Suriname,142,646758,142287,84079,3234,2500,0,200,,3,0,0,0,0,0,0,3,0,0,1250,0,0,0,17,,0,0,0,0,0,0,17,0,58440000,2645000000,12316000000,1632000000,55,255500,4,0,4304,14000,17000,89000000,7109000,6967000,0,0,0,0,163820,386,1907,1200
Central African Republic,143,5650957,2203873,1254512,101717,30000,0,1000,,8,0,8,0,0,0,0,0,0,0,270,0,0,0,0,,0,0,0,0,0,0,0,0,300000000,724179000,5926000000,374405000,43,2000000,0,0,24000,0,2000,0,0,0,0,0,0,3000000,622984,0,5920,2800
Beliz,144,415789,158000,90226,8732,2000,850,0,,3,0,0,1,0,1,0,1,0,0,164,0,0,0,15,,0,0,0,0,0,0,15,0,34400000,1235000000,5538000000,498087000,27,190000,2,0,3281,800,5000,6700000,0,0,0,0,0,0,22966,386,542,825
Bhutan,145,884546,203446,122067,4423,16000,50000,0,,2,0,0,0,0,0,0,2,0,0,78,0,0,0,0,,0,0,0,0,0,0,0,0,26600000,2827000000,11517000000,941018000,4,406500,0,0,12205,0,4000,0,0,0,0,4000,105000,0,38394,0,1136,0
