country,capital_city,region,continent,alliance,year,power_index_rank,population,total_personnel,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active_personnel,active-reserve-military-manpower,manpower-paramilitary,total_aircraft,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,tanks,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,naval_assets,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense_budget_usd,external-debt-by-country,gdp_usd,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,merchant-marine-strength-by-country,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,land_area_sq_km,coastline_km,border-coverage,waterway-coverage,total_assets,assets_per_capita,budget_to_gdp_ratio,personnel_density,budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,coalition_strength_index
Poland,Unknown,Unknown,Unknown,Non-NATO,2026,21,38746310.0,18985692.0,15576017.0,464956.0,202100.0,350000.0,50000.0,479.0,59.0,44.0,49.0,105.0,11.0,0.0,216.0,29.0,614.0,23138.0,677.0,0.0,196.0,62.0,,0.0,0.0,1.0,0.0,2.0,2.0,3.0,26.0,48700000000.0,386947000000.0,1616000000000.0,193783000000.0,288.0,18387000.0,10.0,152.0,19461.0,420000.0,24000.0,722000.0,113000000.0,5551000000.0,20056000000.0,91492000000.0,116682000.0,123782000.0,28531000000.0,312685.0,440.0,2845.0,3997.0,1155.0,2.9809290226604805e-05,0.030136138613861385,0.49000000258089094,240969.8169223157,20,0.0023701138050470066,0.001963637526584262,0.1409090909090909,1256.8938822819514,25562.0
Taiwan,Unknown,Unknown,Unknown,Non-NATO,2026,22,23595274.0,12269542.0,1061787.0,306739.0,215000.0,2310000.0,55000.0,761.0,285.0,0.0,19.0,232.0,18.0,0.0,236.0,91.0,888.0,19921.0,488.0,1360.0,234.0,97.0,250414.0,0.0,0.0,4.0,4.0,22.0,7.0,37.0,14.0,19740000000.0,209000000000.0,1257300000000.0,492635000000.0,53.0,11498000.0,8.0,465.0,1613.0,43206.0,800.0,1022000.0,2380000.0,63747000.0,21157000000.0,6230000000.0,5608000.0,66855000.0,1000000.0,35980.0,1566.0,0.0,0.0,1746.0,7.39978692343221e-05,0.015700310188499166,0.5199999796569431,91813.95348837209,21,0.00353953488372093,0.024680377987770983,0.06194125159642401,836.608212305566,25562.0
Vietnam,Unknown,Unknown,Unknown,Non-NATO,2026,23,105758975.0,54994667.0,45053323.0,1797903.0,600000.0,5000000.0,250000.0,246.0,41.0,32.0,9.0,60.0,3.0,0.0,101.0,0.0,1374.0,11912.0,40.0,535.0,474.0,110.0,107813.0,0.0,0.0,9.0,0.0,9.0,16.0,35.0,8.0,8594000000.0,110000000000.0,1354000000000.0,97955500000.0,42.0,56149000.0,16.0,1973.0,2600.0,195468.0,187000.0,494000.0,4400000000.0,7676000000.0,7676000000.0,699426000000.0,43614000.0,83116000.0,3360000000.0,331210.0,3444.0,4616.0,47130.0,1730.0,1.6357949762656077e-05,0.00634711964549483,0.52,14323.333333333334,22,0.00041,0.004148425470245464,0.03193960511033682,81.26024292500944,25562.0
Saudi Arabia,Unknown,Unknown,Unknown,Non-NATO,2026,24,36544431.0,19003104.0,17468238.0,621255.0,257000.0,0.0,150000.0,917.0,283.0,81.0,49.0,202.0,16.0,22.0,264.0,34.0,840.0,19040.0,332.0,467.0,321.0,32.0,49727.0,0.0,0.0,0.0,0.0,7.0,9.0,9.0,3.0,74760000000.0,225610000000.0,1831000000000.0,457949000000.0,86.0,16934000.0,16.0,433.0,5410.0,221372.0,11113000.0,3649000.0,258600000000.0,121870000000.0,121870000000.0,9423000000000.0,0.0,164000.0,0.0,2149690.0,2640.0,4272.0,0.0,1789.0,4.895410739874428e-05,0.04083014746040415,0.5199999967163259,290894.94163424126,23,0.003568093385214008,0.0003907540156952863,0.012121212121212121,2045.7289374679278,25562.0
Thailand,Unknown,Unknown,Unknown,Non-NATO,2026,25,69920998.0,36358919.0,27968399.0,1118736.0,360850.0,200000.0,25000.0,493.0,72.0,20.0,54.0,135.0,26.0,0.0,258.0,7.0,635.0,16935.0,50.0,589.0,26.0,293.0,130988.0,0.0,1.0,0.0,0.0,7.0,6.0,49.0,5.0,5887883500.0,102694000000.0,1516000000000.0,224470000000.0,108.0,40814000.0,21.0,884.0,4127.0,180053.0,386000.0,1248000.0,252750000.0,30797000000.0,48898000000.0,138243000000.0,13642000.0,36030000.0,1063000000.0,513120.0,3219.0,5673.0,4000.0,1421.0,2.0322936466095634e-05,0.003883828166226913,0.5200000005720742,16316.706387695718,24,0.001366218650408757,0.0012375272840661055,0.09102205653929792,84.20765819160647,25562.0
Algeria,Unknown,Unknown,Unknown,Non-NATO,2026,26,47022473.0,22570787.0,19185169.0,752360.0,325000.0,135000.0,150000.0,608.0,102.0,42.0,63.0,87.0,10.0,5.0,299.0,74.0,1485.0,26000.0,224.0,483.0,266.0,110.0,82880.0,0.0,0.0,6.0,0.0,8.0,8.0,75.0,2.0,25000000000.0,3335624000.0,699947000000.0,81217000000.0,85.0,13425000.0,17.0,119.0,4020.0,104000.0,1443000.0,428000.0,12200000000.0,100726000000.0,47963000000.0,4504000000000.0,0.0,167000.0,233000000.0,2381740.0,998.0,6734.0,0.0,2203.0,4.684993917695481e-05,0.03571699000067148,0.47999999914934294,76923.07692307692,25,0.0018707692307692308,0.000623493748268073,0.11022044088176353,531.6606806281753,25562.0
Sweden,Unknown,Unknown,Unknown,Non-NATO,2026,27,10589835.0,4235934.0,3558185.0,105898.0,24400.0,32900.0,25000.0,169.0,71.0,0.0,6.0,33.0,5.0,1.0,53.0,0.0,110.0,6795.0,26.0,0.0,0.0,308.0,31673.0,0.0,0.0,4.0,0.0,0.0,7.0,179.0,8.0,13000000000.0,1002448700000.0,676353000000.0,60863000000.0,203.0,5825000.0,92.0,361.0,10910.0,573134.0,11000.0,283000.0,0.0,0.0,889924000.0,0.0,1115000.0,3396000.0,5000000.0,450295.0,3218.0,2211.0,2052.0,587.0,5.54305142620258e-05,0.019220732369043977,0.4,532786.8852459016,26,0.006926229508196722,0.00024428430251279714,0.09571162212554382,1227.5923090397537,25562.0
Canada,Unknown,Unknown,Unknown,Non-NATO,2026,28,38794813.0,16681770.0,13500595.0,426743.0,68000.0,27000.0,5500.0,351.0,66.0,0.0,28.0,95.0,33.0,6.0,145.0,0.0,74.0,21704.0,0.0,0.0,0.0,73.0,119637.0,0.0,0.0,4.0,0.0,12.0,0.0,24.0,0.0,41000000000.0,2337375700000.0,2238000000000.0,117551000000.0,1425.0,22110000.0,284.0,716.0,4942.0,1042300.0,5692000.0,2454000.0,170300000000.0,187686000000.0,130316000000.0,2067126000000.0,43024000.0,17138000.0,6582000000.0,9984670.0,202080.0,8893.0,636.0,498.0,1.2836767636951878e-05,0.01831992850759607,0.43000001056842313,602941.1764705882,27,0.005161764705882353,7.411361617359412e-06,0.000361243072050673,1056.8423154920222,25562.0
Singapore,Unknown,Unknown,Unknown,Non-NATO,2026,29,6028459.0,3918498.0,2628408.0,66313.0,51000.0,252500.0,12000.0,230.0,100.0,0.0,9.0,36.0,9.0,11.0,70.0,18.0,170.0,8998.0,48.0,89.0,24.0,50.0,81340.0,0.0,0.0,6.0,0.0,6.0,6.0,12.0,4.0,15000000000.0,1713410600000.0,754758000000.0,359835000000.0,9.0,3619000.0,5.0,3202.0,0.0,3500.0,0.0,1470000.0,0.0,0.0,13724000000.0,0.0,0.0,784000.0,0.0,719.0,193.0,0.0,0.0,450.0,7.464594185678297e-05,0.01987391985245602,0.6499999419420452,294117.64705882355,28,0.0045098039215686276,0.2364394993045897,0.25906735751295334,2488.1980618927655,25562.0
Greece,Unknown,Unknown,Unknown,Non-NATO,2026,30,10461091.0,4916713.0,3985676.0,104611.0,142700.0,221350.0,55000.0,558.0,178.0,0.0,15.0,81.0,8.0,0.0,293.0,29.0,1344.0,61888.0,589.0,698.0,152.0,192.0,216348.0,0.0,0.0,10.0,0.0,13.0,0.0,39.0,7.0,6500000000.0,550000000000.0,375780000000.0,13608000000.0,81.0,4645000.0,57.0,1215.0,2345.0,117000.0,5000.0,303000.0,10000000.0,3284000.0,5173000000.0,991090000.0,13703000.0,13988000.0,2876000000.0,131957.0,13676.0,1110.0,6.0,2094.0,0.00020017032640285798,0.01729735483527596,0.47000002198623453,45550.10511562719,29,0.003910301331464611,0.010185136067052146,0.014039192746417082,621.3501058350415,25562.0
