country,capital_city,region,continent,alliance,year,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,power_index_rank,Power_index_score,assets_per_capita,budget_to_gdp_ratio,personnel_density,budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,total_assets
Norway,Other,Europe,Europe,NATO,2025,23250,0,23250,97,0,32,4,33,44,6552,42,43,0,9710000000,499528000000,5509733,323802,25148,38,0.6811,3.3e-05,0.019438,0.00422,417634.408602,37,0.004172,0.000136,0.00171,1762.335852,184
Portugal,Other,Europe,Europe,Non-NATO,2025,24000,211700,235700,115,28,0,19,31,34,10828,24,194,0,4627000000,529901000000,10639726,92090,1793,39,0.6856,3.2e-05,0.008732,0.022153,192791.666667,38,0.004792,0.000369,0.108199,434.87962,343
South Africa,Other,Africa,Africa,Non-NATO,2025,71235,29350,100585,182,2,0,12,87,252,18692,49,49,0,2266800000,862981000000,60442647,1219090,2798,40,0.6889,8e-06,0.002627,0.001664,31821.436092,39,0.002555,0.000207,0.017513,37.503321,483
Philippines,Other,Other,Other,Non-NATO,2025,150000,1200000,1350000,202,0,25,26,122,10,11878,12,113,0,4380000000,1138000000000,118277063,300000,36289,41,0.6987,3e-06,0.003849,0.011414,29200.0,40,0.001347,3.3e-05,0.003114,37.031694,325
Malaysia,Other,Other,Other,Non-NATO,2025,113000,51600,164600,135,26,12,16,45,48,13506,0,100,0,4800000000,1152000000000,34564810,329847,4675,42,0.7429,8e-06,0.004167,0.004762,42477.876106,41,0.001195,0.000146,0.02139,138.869561,283
Iraq,Other,Asia,Asia,Non-NATO,2025,193000,0,193000,391,26,36,15,197,1025,37288,434,68,0,7923000000,572939000000,42083436,438317,58,43,0.7738,3.5e-05,0.013829,0.004586,41051.813472,42,0.002026,0.002338,1.172414,188.268848,1484
Switzerland,Other,Other,Other,Non-NATO,2025,101584,49715,151299,146,43,0,16,40,205,6996,133,0,0,25039000000,733779000000,8860574,41277,0,44,0.7869,4e-05,0.034123,0.017076,246485.667034,43,0.001437,0.004966,0.0,2825.889158,351
Denmark,Other,Other,Other,Non-NATO,2025,20000,12000,32000,117,31,4,4,34,44,3856,19,50,0,7225466250,428385000000,5973136,43094,7314,45,0.8109,3.5e-05,0.016867,0.005357,361273.3125,44,0.00585,0.001021,0.006836,1209.660428,211
Colombia,Other,South America,South America,Non-NATO,2025,293200,35000,328200,436,16,24,86,257,0,3460,6,233,0,10541500000,978024000000,49588357,1138910,3208,46,0.8353,1.3e-05,0.010778,0.006618,35953.274216,45,0.001487,0.0,0.072631,212.580143,669
Chile,Other,South America,South America,Non-NATO,2025,80000,40000,120000,277,45,0,32,87,386,8832,48,130,0,5032500000,579201000000,18664652,756102,6435,47,0.8361,4.2e-05,0.008689,0.006429,62906.25,46,0.003462,0.000511,0.020202,269.627315,793
Finland,Other,Europe,Europe,Non-NATO,2025,24000,870000,894000,163,54,0,11,27,200,11704,107,264,0,6779661000,321126000000,5626414,338145,1250,48,0.8437,0.000111,0.021112,0.158893,282485.875,47,0.006792,0.000591,0.2112,1204.970164,627
Peru,Other,South America,South America,Non-NATO,2025,120000,385000,505000,256,15,22,38,111,240,6560,12,71,0,3420000000,517644000000,32600249,1285216,2414,49,0.8588,1.7e-05,0.006607,0.015491,28500.0,48,0.002133,0.000187,0.029412,104.907174,567
Venezuela,Other,South America,South America,Non-NATO,2025,109000,8000,117000,229,30,0,49,88,172,8802,48,34,0,4093120000,295974800000,31250306,912050,2800,50,0.8882,1.4e-05,0.013829,0.003744,37551.559633,49,0.002101,0.000189,0.012143,130.978557,435
Romania,Other,Europe,Europe,Non-NATO,2025,81300,55000,136300,140,21,0,14,65,328,10774,0,20,0,9700000000,772107000000,18148155,238391,225,51,0.8984,2.7e-05,0.012563,0.00751,119311.193112,50,0.001722,0.001376,0.088889,534.489594,488
