country,capital_city,region,continent,alliance,year,population,defense_budget_usd,gdp_usd,land_area_sq_km,coastline_km,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,Power_index_score,power_index_rank
Ecuador,Quito,South America,South America,Others,2025,18309984,2376000000,260213000000,283560,2237,41250,118000,159250,102,0,0,20,46,54,5204,5,30,0,1.3021,65
Democratic Republic of the Congo,Kinshasa,Africa,Africa,Others,2025,115403027,796560000,154012000000,2344858,37,166580,31000,197580,46,1,6,6,32,105,916,8,16,0,1.3111,66
Cuba,Havana,North America,North America,Others,2025,10966038,4508784000,141400000000,110860,3735,45500,40000,85500,31,11,0,4,13,113,6864,60,19,0,1.3286,67
Austria,Vienna,Europe,Europe,Others,2025,8967982,5475750000,590354000000,83871,0,16000,125600,141600,85,15,0,11,41,56,7322,30,0,0,1.3704,68
Sri Lanka,Colombo,Asia,Asia,Others,2025,21982608,1265400000,287132000000,65610,1340,346000,90000,436000,85,5,0,14,55,44,3190,0,270,0,1.3941,69
Belarus,Minsk,Europe,Europe,Others,2025,9501451,1077900000,254407000000,207600,0,63000,145000,208000,185,36,50,4,68,507,6916,357,0,0,1.3954,70
Slovakia,Bratislava,Europe,Europe,Others,2025,5563649,2656000000,213053000000,49035,0,19500,0,19500,41,2,0,7,22,45,3074,35,0,0,1.3978,71
Qatar,Doha,Asia,Asia,Others,2025,2552088,9432000000,304973000000,11586,563,66550,15000,81550,251,102,6,12,80,99,5024,46,115,0,1.4307,72
Sudan,Khartoum,Africa,Africa,Others,2025,50467278,342000000,136039000000,1861484,853,92000,85000,177000,165,37,27,13,64,224,2900,100,6,0,1.4756,73
Croatia,Zagreb,Europe,Europe,Others,2025,4150116,1176000000,159305000000,56594,5835,14325,20100,34425,67,10,0,0,37,45,2848,25,30,0,1.5074,74
Jordan,Amman,Asia,Asia,Others,2025,11174024,2500000000,106806000000,89342,26,100500,65000,165500,274,44,6,13,155,1458,16624,358,27,0,1.6139,75
Libya,Tripoli,Africa,Africa,Others,2025,7361263,3060000000,121951000000,1759540,1770,32000,0,32000,143,10,1,6,16,43,1816,15,5,0,1.4449,76
Turkmenistan,Ashgabat,Asia,Asia,Others,2025,5744151,1078020000,94790000000,488100,1768,36500,0,36500,91,24,27,5,26,654,5016,73,16,0,1.6512,77
Albania,Tirana,Europe,Europe,Others,2025,3107100,558862420,49592000000,28748,362,6600,2000,8600,19,0,0,0,19,46,1796,0,19,0,1.6815,78
Kuwait,Kuwait City,Asia,Asia,Others,2025,3138355,6950000000,219060000000,17818,499,72000,24000,96000,128,43,0,2,67,367,5636,74,123,0,1.6982,79
Bolivia,Sucre,South America,South America,Others,2025,12311974,550200000,119785000000,1098581,0,40000,40000,80000,64,0,0,15,33,54,890,0,67,0,1.7221,80
Bahrain,Manama,Asia,Asia,Others,2025,1566888,1597200000,85491000000,760,161,18400,110000,128400,132,24,0,3,80,150,2764,38,64,0,1.7448,81
Oman,Muscat,Asia,Asia,Others,2025,3901992,8200000000,185960000000,309500,2092,42600,100000,142600,128,29,10,9,31,150,4084,24,22,0,1.8047,82
Kenya,Nairobi,Africa,Africa,Others,2025,58246378,1307383850,314063000000,580367,536,50000,0,50000,156,17,0,21,85,188,4128,18,23,0,1.8135,83
Chad,N'Djamena,Africa,Africa,Others,2025,19093595,381350000,32446000000,1284000,0,33250,0,33250,40,0,7,7,16,90,3316,10,0,0,1.8712,84
Yemen,Sana'a,Asia,Asia,Others,2025,32140443,810375000,67003300000,527968,1906,66700,0,66700,84,27,12,2,30,0,550,0,33,0,1.8901,85
New Zealand,Wellington,Oceania,Oceania,Others,2025,5161211,3030000000,254770000000,268838,15134,8670,3250,11920,48,0,0,8,21,0,2114,0,8,0,1.9039,86
Paraguay,Asunción,South America,South America,Others,2025,7522549,17595000000,108022000000,406752,0,15650,168500,184150,39,0,0,11,14,0,1108,0,72,0,1.9044,87
Lithuania,Vilnius,Europe,Europe,Others,2025,2628186,2388900000,132712000000,65300,90,23000,104000,127000,9,0,0,5,4,0,1263,21,14,0,1.9075,88
Mozambique,Maputo,Africa,Africa,Others,2025,33350954,412400000,50631000000,799380,2470,11200,0,11200,22,8,0,4,8,30,872,0,33,0,1.9265,89
Tunisia,Tunis,Africa,Africa,Others,2025,12048847,1400000000,153637000000,163610,1148,89800,0,89800,154,10,0,11,101,90,7913,0,58,0,1.9538,90
Armenia,Yerevan,Asia,Asia,Others,2025,2976765,1700000000,57728000000,29743,0,57500,210000,267500,71,4,15,3,36,109,1306,145,0,0,2.0373,91
Tanzania,Dodoma,Africa,Africa,Others,2025,67462121,1406745334,234050000000,947300,1424,27000,80000,107000,39,14,0,6,12,62,1072,0,12,0,2.0416,92
Cameroon,Yaoundé,Africa,Africa,Others,2025,30966105,554952283,138925000000,475440,400,40000,0,40000,35,0,0,6,21,0,430,18,51,0,2.0501,93
Georgia,Tbilisi,Asia,Asia,Others,2025,4900961,495629055,83656000000,69700,310,55000,152500,207500,61,0,5,2,44,123,3392,67,19,0,2.0695,94
Cambodia,Phnom Penh,Asia,Asia,Others,2025,17063669,860000000,85900000000,181035,443,221000,0,221000,25,0,0,4,21,644,3627,30,20,0,2.0752,95
Slovenia,Ljubljana,Europe,Europe,Others,2025,2097893,886860000,102036000000,20273,47,7300,26000,33300,39,0,0,4,16,54,1428,0,2,0,2.1016,96
Ireland,Dublin,Europe,Europe,Others,2025,5233461,1500000000,608463000000,70273,1448,7765,1700,9465,22,0,0,4,8,0,1712,0,8,0,2.1103,97
Mongolia,Ulan Bator,Asia,Asia,Others,2025,3281676,165110000,56264000000,1564116,0,35000,135000,170000,7,0,0,3,2,420,2560,0,0,0,2.1135,98
Latvia,Riga,Europe,Europe,Others,2025,1801246,1138000000,71154000000,64589,498,17250,36000,53250,7,0,0,0,7,0,1848,47,18,0,2.1246,99
Uruguay,Montevideo,South America,South America,Others,2025,3425330,772400000,105096000000,176215,660,25000,0,25000,43,0,6,6,12,31,3042,6,14,0,2.1385,100
Honduras,Tegucigalpa,North America,North America,Others,2025,9529188,413635000,68854000000,112090,832,52225,60000,112225,40,4,7,10,8,11,614,0,98,0,2.1679,101
Ivory Coast,Yamoussoukro,Africa,Africa,Others,2025,29981758,669600935,202758000000,322463,515,22000,0,22000,19,0,0,4,10,5,656,0,3,0,2.1796,102
Guatemala,Guatemala City,North America,North America,Others,2025,18255216,408635000,223183000000,108889,400,106114,90000,196114,36,0,4,10,21,5,688,0,25,0,2.1956,103
Mali,Bamako,Africa,Africa,Others,2025,21990607,650386000,57235000000,1240192,0,40000,0,40000,43,9,12,7,10,10,570,0,0,0,2.2379,104
Kyrgyzstan,Bishkek,Asia,Asia,Others,2025,6172101,221800000,45461000000,199951,0,23000,300000,323000,7,0,0,0,7,215,2686,30,0,0,2.2543,105
Laos,Vientiane,Asia,Asia,Others,2025,7953556,135000000,64173000000,236800,0,100000,30000,130000,33,0,0,2,23,160,4380,40,36,0,2.2663,106
Estonia,Tallinn,Europe,Europe,Others,2025,1193791,1463360000,57377000000,45228,3794,7700,78800,86500,5,0,0,2,3,0,1685,36,8,0,2.2917,107
Tajikistan,Dushanbe,Asia,Asia,Others,2025,10394063,446000000,46467000000,144100,0,9500,600000,609500,25,0,0,1,20,38,1240,3,0,0,2.3049,108
Zambia,Lusaka,Africa,Africa,Others,2025,20799116,394240000,76493000000,752618,0,15150,0,15150,77,0,0,13,32,35,424,12,0,0,2.3411,109
Ghana,Accra,Africa,Africa,Others,2025,34589092,308500000,229639000000,238533,539,15500,0,15500,19,0,0,2,10,0,1824,0,28,0,2.3775,110
Zimbabwe,Harare,Africa,Africa,Others,2025,17150352,530800000,58583000000,390757,0,29000,0,29000,95,13,0,14,28,15,828,0,0,0,2.3863,111
North Macedonia,Unknown,Europe,Europe,Others,2025,2135622,388421700,42444000000,25713,0,9000,60000,69000,20,0,0,0,10,20,1108,0,0,0,2.4042,112
South Sudan,Juba,Africa,Africa,Others,2025,12703714,175300000,20010000000,644329,0,185000,0,185000,20,0,0,5,15,30,1950,24,0,0,2.4321,113
Uganda,Kampala,Africa,Africa,Others,2025,49283041,985400000,135668000000,241038,0,45000,0,45000,51,6,0,0,30,259,3862,6,0,0,2.4767,114
Lebanon,Beirut,Asia,Asia,Others,2025,5364482,768250325,65818000000,10400,225,60000,35000,95000,80,0,9,0,68,116,4538,12,64,0,2.5981,115
Namibia,Windhoek,Africa,Africa,Others,2025,2803660,370500000,29944000000,824292,1572,13000,0,13000,34,11,0,3,7,4,2094,0,15,0,2.6384,116
Luxembourg,Luxembourg,Europe,Europe,Others,2025,671254,726092925,88533000000,2586,0,1000,0,1000,1,0,0,1,0,0,182,0,0,0,2.6415,117
Afghanistan,Kabul,Asia,Asia,Others,2025,40121552,290000000,54772700000,652230,0,0,0,0,9,0,0,3,6,0,5202,0,0,0,2.6442,118
Niger,Niamey,Africa,Africa,Others,2025,26342784,336400000,44561000000,1267000,0,25000,0,25000,26,0,2,7,13,0,456,0,0,0,2.6689,119
Eritrea,Asmara,Africa,Africa,Others,2025,6343956,198000000,9702000000,117600,2234,120000,130000,250000,20,1,0,5,13,65,860,23,23,0,2.6985,120
Republic of the Congo,Brazzaville,Africa,Africa,Others,2025,6097665,306400000,38163000000,342000,169,8500,0,8500,13,2,0,4,7,30,644,2,4,0,2.7282,121
Botswana,Gaborone,Africa,Africa,Others,2025,2450668,465600000,46742000000,581730,0,21000,0,21000,45,11,0,9,16,45,1224,12,0,0,2.7509,122
Mauritania,Nouakchott,Africa,Africa,Others,2025,4328040,261250000,30395000000,1030700,754,31540,66000,97540,24,0,4,7,4,25,628,0,6,0,2.7977,123
Dominican Republic,Santo Domingo,North America,North America,Others,2025,10815857,810800000,261616000000,48320,1288,50000,0,50000,79,0,8,11,50,5,540,0,34,0,2.8023,124
Senegal,Dakar,Africa,Africa,Others,2025,18847519,465150000,77382000000,196722,531,17000,0,17000,40,0,0,5,20,0,1740,0,4,0,2.8116,125
Nepal,Kathmandu,Asia,Asia,Others,2025,31122387,409100000,144310000000,147181,0,95000,0,95000,15,0,0,5,10,0,1108,0,0,0,2.8915,126
Montenegro,Unknown,Europe,Europe,Others,2025,599849,148100000,17115000000,13812,294,2350,0,2350,11,0,0,0,11,0,471,0,14,0,2.9216,127
El Salvador,San Salvador,North America,North America,Others,2025,6628702,334620000,71957000000,21041,307,25000,10000,35000,52,0,15,4,30,0,1844,0,14,0,2.9371,128
Burkina Faso,Ouagadougou,Africa,Africa,Others,2025,23042199,81280000,57152000000,274200,0,12000,0,12000,25,0,3,2,18,0,491,0,0,0,2.9734,129
Madagascar,Antananarivo,Africa,Africa,Others,2025,29452714,112210000,51255000000,587040,4828,13500,0,13500,5,0,0,0,5,6,158,0,6,0,3.0609,130
Nicaragua,Managua,North America,North America,Others,2025,6676948,92000000,51088000000,130370,910,45000,0,45000,17,0,0,5,11,89,1869,0,23,0,3.0966,131
Bosnia and Herzegovina,Sarajevo,Europe,Europe,Others,2025,3798671,216400000,63769000000,51197,20,12770,6000,18770,22,0,0,0,22,45,720,0,0,0,3.0799,132
Gabon,Libreville,Africa,Africa,Others,2025,2455105,274820000,48201000000,267667,885,4800,0,4800,24,6,0,3,15,0,424,0,5,0,3.1805,133
Moldova,Chișinău,Europe,Europe,Others,2025,3599528,1710000000,38969000000,33851,0,8500,67000,75500,3,0,0,1,2,0,500,9,0,0,3.2555,134
Iceland,Reykjavik,Europe,Europe,Others,2025,364036,312400000,26155000000,100250,4970,0,0,0,0,0,0,0,0,0,150,0,0,0,3.5181,135
Panama,Panama City,North America,North America,Others,2025,4470241,917202000,159867000000,75420,2490,0,0,0,38,0,0,13,23,0,262,0,30,0,3.6575,136
Beliz,Unknown,Unknown,Unknown,Others,2025,415789,29538000,5257000000,22966,386,1650,850,2500,3,0,0,1,1,0,130,0,8,0,3.7191,137
Liberia,Monrovia,Africa,Africa,Others,2025,5437249,364800000,8884000000,111369,579,1500,0,1500,0,0,0,0,0,0,300,0,4,0,3.7781,138
Suriname,Paramaribo,South America,South America,Others,2025,646758,144000000,11824000000,163820,386,2000,0,2000,3,0,0,0,3,0,650,0,17,0,3.9127,139
Sierra Leone,Freetown,Africa,Africa,Others,2025,9121049,228600000,14633000000,71740,402,13000,0,13000,1,0,0,0,1,0,150,0,7,0,3.9701,140
Kosovo,Unknown,Unknown,Unknown,Others,2025,1977093,260715150,23794000000,10887,0,10000,5000,15000,0,0,0,0,0,0,737,0,0,0,4.9141,141
Somalia,Mogadishu,Africa,Africa,Others,2025,13017273,171002350,26351000000,637657,3025,15000,0,15000,0,0,0,0,0,0,682,0,10,0,4.2037,142
Central African Republic,Bangui,Africa,Africa,Others,2025,5650957,45990000,5849000000,622984,0,10000,0,10000,6,0,6,0,0,0,228,0,0,0,4.2347,143
Benin,Porto-Novo,Africa,Africa,Others,2025,14697052,98350000,52510000000,112622,121,4750,0,4750,5,0,0,0,5,0,92,0,2,0,4.3156,144
Bhutan,Thimphu,Asia,Asia,Others,2025,884546,14000000,10981000000,38394,0,7500,0,7500,2,0,0,0,2,0,84,0,0,0,6.3934,145
