Country,Rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,merchant_marine_strength_by_country,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage
Thailand,0.16666666666666666,0.04916800948814946,0.04747815322115526,0.04453979175434154,0.046628779986240765,0.17732186732186733,0.04,0.0036764705882352936,0.03779805259526183,0.04022346368715084,0.022497187851518562,0.05882352941176471,0.05100113335851908,0.0401854714064915,0.0,0.044155399623481084,0.006986027944111775,0.09338235294117646,0.043000518017040974,0.009674922600619196,0.06925338036449148,0.008652246256239601,0.3885941644562334,0.029053017102360905,0.0,0.1111111111111111,0.0,0.0,0.14893617021276595,0.07228915662650603,0.22580645161290322,0.10638297872340426,0.006563100987054546,0.00457602634498327,0.04838752916517185,0.06505922958824567,0.006616257088846882,0.05214516029656404,0.03153153153153153,0.07739450183855717,0.014058263274788462,0.027039008303923796,0.01848747545380526,0.06155214148100579,0.0008319453862004042,0.0299290573372206,0.05348129335962665,0.0028918104800753058,0.0028261860368759065,0.006781479390175042,0.004270088093162637,0.02996931192898527,0.01592933491686461,0.2526161107895088,0.0392156862745098
Algeria,0.1736111111111111,0.03298163702316705,0.029431796312117516,0.030527292108752938,0.03133338991551123,0.15970515970515972,0.027,0.022058823529411763,0.046615042551560223,0.05698324022346368,0.04724409448818898,0.06862745098039216,0.03286739705326785,0.015455950540958269,0.008264462809917356,0.0511723429744994,0.07385229540918163,0.21838235294117644,0.06613265829503494,0.043343653250773995,0.056790123456790124,0.08851913477537438,0.14588859416445624,0.01748260578130941,0.0,0.0,0.08571428571428572,0.0,0.1702127659574468,0.0963855421686747,0.3456221198156682,0.0425531914893617,0.0279177551380692,0.00012106604066687476,0.02225019916408895,0.023536419326429758,0.00516698172652804,0.016988509170072497,0.025525525525525526,0.010418490632113466,0.013693777166137537,0.015488872669219899,0.0691125053881891,0.021044311613891222,0.04015720558514315,0.09788726919339164,0.05245865420687498,0.0942160861834536,0.0,3.143233578016187e-05,0.000935964746666881,0.139261166661393,0.004938638163103722,0.2998619584094046,0.0
Sweden,0.18055555555555555,0.007228351667456511,0.005434542651306789,0.005596474202172009,0.004345026988070692,0.01199017199017199,0.00658,0.0036764705882352936,0.012957141761864603,0.03966480446927374,0.0,0.006535947712418302,0.012466943709860219,0.0077279752704791345,0.001652892561983471,0.009070682868389525,0.0,0.016176470588235292,0.01712518404915803,0.005030959752321981,0.0,0.0,0.4084880636604774,0.00516685678910263,0.0,0.0,0.05714285714285714,0.0,0.0,0.08433734939759037,0.8248847926267281,0.1702127659574468,0.014509724174456362,0.04491864691650411,0.021494507849866035,0.017636680542118078,0.01260239445494644,0.007233112895606991,0.13813813813813813,0.031605673262125725,0.03716395743347277,0.08673604675638513,0.0005268451554193208,0.013881341698364868,0.0,0.0,0.0009733381020036072,0.0,0.00023099233478350944,0.0006391869000564653,2.0085080400576843e-05,0.026294803054220193,0.015924386381631038,0.09845482477623903,0.02011764705882353
Canada,0.18749999999999997,0.027165717907187432,0.02172405877193508,0.02145829458047209,0.017739598213378074,0.03341523341523342,0.005399999999999999,0.0008088235294117646,0.02691098673618033,0.036871508379888264,0.0,0.03050108932461874,0.035889686437476385,0.05100463678516229,0.009917355371900825,0.024816019168235493,0.0,0.01088235294117647,0.05517009076781353,0.0,0.0,0.0,0.09681697612732094,0.026322998417209673,0.0,0.0,0.05714285714285714,0.0,0.2553191489361702,0.0,0.11059907834101382,0.0,0.04579512975621965,0.10477329026374525,0.07151243926388094,0.03406806465359791,0.08960302457466919,0.028136616623195252,0.4264264264264264,0.06268604447557345,0.016834489242550175,0.15798808066946532,0.272618420422434,0.1211282912611767,0.560555091077859,0.18239650145772593,0.1425307420641561,0.04324087438552453,0.008913196602444582,0.0032256728778467907,0.02643999983931936,0.5839413697527999,1.0,0.3960012468272699,0.006235294117647059
Singapore,0.19444444444444442,0.00400403346840956,0.005019072060237796,0.004113136081346705,0.002692440530579404,0.02506142506142506,0.050499999999999996,0.001764705882352941,0.017633979912596798,0.055865921787709494,0.0,0.009803921568627453,0.01360030222893842,0.013910355486862442,0.01818181818181818,0.011980147184665411,0.017964071856287425,0.024999999999999998,0.022746817257367706,0.009287925696594427,0.01046443268665491,0.007986688851913478,0.0663129973474801,0.017112221782090584,0.0,0.0,0.08571428571428572,0.0,0.1276595744680851,0.07228915662650603,0.05529953917050691,0.0851063829787234,0.01674439600172517,0.07679616651240394,0.02400573856494815,0.10429565193954518,0.00037807183364839316,0.004401480766466082,0.0075075075075075074,0.28033619331115395,0.0,0.00022598190504568384,0.0,0.07251889542063923,0.0,0.0,0.01501037404530893,0.0,0.0,0.00014756258234519104,0.0,0.0,0.0009550673000791767,0.0,0.0
Greece,0.20138888888888887,0.0071373458783660915,0.006325568412459773,0.006278480421523241,0.0042912975761522565,0.07012285012285012,0.04427,0.008088235294117646,0.04278156865751744,0.0994413407821229,0.0,0.016339869281045753,0.030600680015111445,0.012364760432766615,0.0,0.05014547321581379,0.028942115768463072,0.1976470588235294,0.15771194679990508,0.11397058823529413,0.08206937095825985,0.05058236272878536,0.2546419098143236,0.04958287305906157,0.0,0.0,0.14285714285714285,0.0,0.2765957446808511,0.0,0.17972350230414746,0.14893617021276595,0.00724704073583274,0.024632015121234495,0.011867466848343475,0.0039395126020253055,0.004914933837429112,0.005718459263518926,0.08558558558558559,0.10637366485729295,0.007988036680246897,0.01746317694717278,0.00023947507064514585,0.014869337548782295,3.291574228290422e-05,3.191448007774538e-06,0.005657874157416431,2.073193180629641e-05,0.00283882328568469,0.0026327875023527195,0.011552938246411801,0.007675848717969264,0.06767616785431513,0.049427795342209556,5.882352941176471e-05
Nigeria,0.20833333333333331,0.1670930683923505,0.16411746820915593,0.14420095404005792,0.17783007570419868,0.11302211302211303,0.0,0.007352941176470587,0.012497124894579468,0.007821229050279328,0.026996625421822275,0.025054466230936823,0.010578012844729883,0.017001545595054096,0.0,0.011295567345541673,0.01497005988023952,0.048529411764705876,0.022654952166357472,0.007739938080495357,0.039858906525573196,0.012312811980033278,0.17639257294429708,0.07800575634456967,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.5023041474654378,0.0425531914893617,0.0035151387842938327,0.001426722361444659,0.04066854947848363,0.011980421200609872,0.0027725267800882167,0.0969519521061387,0.04204204204204204,0.08124671686219577,0.012937553650992629,0.029309002614890084,0.07380621677283394,0.025342093563207036,0.12142617328163367,0.03882507288629737,0.02266102738594839,0.12051040686120698,0.000630412264346385,0.0005729343120647469,0.00861248247576735,0.05398729394895389,0.004221100554235946,0.19935877454691187,0.08431372549019608
Mexico,0.21527777777777776,0.09215933044508096,0.0803152545339539,0.0793882721164532,0.09271179105095105,0.20245700245700246,0.019731,0.01764705882352941,0.03319788392241049,0.0016759776536312849,0.03712035995500563,0.044662309368191724,0.06649036645258784,0.03863987635239567,0.0,0.030463802841006332,0.0,0.0,0.04994909142873182,0.0038699690402476785,0.00823045267489712,0.0,0.22148541114058354,0.07800575634456967,0.0,0.0,0.0,0.06172839506172839,0.02127659574468085,0.03614457831325302,0.6451612903225806,0.0,0.008476110240830585,0.016622236824099437,0.09185082972465694,0.06211631675159849,0.09338374291115313,0.07682631287096178,0.052552552552552555,0.059008930134827525,0.07967257565641564,0.10674486126563838,0.10062742468509028,0.0857086400237119,0.01904504848488838,0.030536443148688044,0.0990549064257832,0.003772032214203535,0.001544023202817485,0.0034675324675324673,0.0048646064730197116,0.11485032071604759,0.04616983372921615,0.19544017455581777,0.028431372549019607
Argentina,0.2222222222222222,0.03296178163876264,0.02695383848658386,0.027959912990574688,0.029352707538620574,0.05307125307125307,0.0,0.0029411764705882353,0.018324005213524498,0.012849162011173183,0.012373453318335208,0.056644880174291944,0.026822818284850773,0.02009273570324575,0.003305785123966942,0.016087626219407836,0.0,0.05029411764705882,0.055221126929485886,0.010642414860681116,0.02022339800117578,0.008652246256239601,0.05835543766578249,0.026922106561400642,0.0,0.0,0.02857142857142857,0.037037037037037035,0.0,0.07228915662650603,0.059907834101382486,0.0,0.0010222472753763747,0.00799469034733077,0.039387391024261524,0.006685323032593475,0.04744801512287335,0.02787476124951223,0.05555555555555555,0.01759761863071266,0.060858960908013245,0.04241382693370195,0.03865127640212654,0.034777453934693475,0.008172978808845119,0.04206025267249757,0.050561029682784996,0.008293358435310113,0.0002730474414750363,0.0006382458121588556,0.003213608847076215,0.1625779944849321,0.024688242280285037,0.5329295987887963,0.10784313725490197
North Korea,0.22916666666666666,0.018332516217595088,0.012281813054311719,0.008394985706858857,0.01749061436514066,0.6486486486486487,0.11199999999999999,0.014705882352941175,0.0660124204554167,0.20558659217877093,0.1282339707536558,0.0010893246187363835,0.06535700793350963,0.0,0.0,0.03508471675509156,0.01996007984031936,0.6388235294117647,0.04645311435417565,0.2515479876160991,0.0823045267489712,0.49916805324459235,0.2745358090185676,0.03201512705974991,0.0,0.0,0.18571428571428572,0.0,0.0425531914893617,0.04819277108433735,0.7142857142857143,0.02127659574468085,0.0052760601841816525,0.00021811079473587345,0.0021377089677536583,0.0015893562660127725,0.005040957781978576,0.02008456388244234,0.015015015015015015,0.023113290141831555,0.02532667493289368,0.0035753131778128292,0.0,0.0007409968878130713,0.0,0.0,0.0,0.0,0.004505282784338098,0.004093167701863354,0.04258037044922291,0.007007974196028278,0.012346595407759304,0.07155897938282049,0.022058823529411766
Bangladesh,0.2361111111111111,0.1189903293653634,0.108080638612103,0.10542053331386386,0.1337359713319563,0.0800982800982801,0.0,0.9999999999999999,0.016407268266503107,0.02346368715083799,0.0,0.01851851851851852,0.032489610880241784,0.0061823802163833074,0.0,0.01112442238576074,0.0,0.047058823529411764,0.029345792961602942,0.010835913312693499,0.06419753086419754,0.036605657237936774,0.15649867374005305,0.01565473669425546,0.0,0.0,0.02857142857142857,0.0,0.14893617021276595,0.07228915662650603,0.28110599078341014,0.10638297872340426,0.004871584583445998,0.0023014754678869448,0.04508854614554991,0.006331408271089861,0.0008821676118462509,0.09591608305436322,0.003003003003003003,0.048853090527053056,0.008379774086740881,0.055750252331273675,0.0006226351836773792,0.007805167218297684,9.216407839213182e-05,0.023926141885325557,0.033231944403429504,0.0026418366279677857,0.00015620468199709965,0.001414266892527762,0.013095472421176103,0.008641076254145117,0.0028701504354711007,0.19650888364429797,0.08205882352941177
Netherlands,0.24305555555555555,0.012305504726168901,0.010357894546827163,0.01026888630165291,0.00808554590731547,0.020334152334152335,0.001353,0.0007352941176470588,0.009200337345702676,0.017877094972067038,0.0,0.004357298474945534,0.007933509633547412,0.0,0.0,0.01078213246619887,0.011976047904191616,0.0026470588235294116,0.0068158793913427355,0.00890092879256966,0.0,0.0006655574043261231,0.08488063660477453,0.027603709323599446,0.0,0.0,0.04285714285714286,0.0,0.1276595744680851,0.0,0.018433179723502304,0.0851063829787234,0.030152426965338007,0.2142915093468963,0.03954753583103929,0.02023582359404511,0.002646502835538752,0.012590879217925285,0.02702702702702703,0.10392225529679566,0.010406589363818452,0.020823139089128907,0.0033526509890320416,0.04297781949315813,0.0004534044752243208,0.01727308066083576,0.03635892337424984,0.002773935780776069,0.00037808162419722397,0.0019969885187276493,0.013043251212134602,0.002387714290543724,0.0022317893903404593,0.046889611257069065,0.061147058823529415
Myanmar,0.24999999999999997,0.040407112528521076,0.03979591435804539,0.03497868965682147,0.043153401311824255,0.07371007371007371,0.004,0.008088235294117646,0.024304224488231236,0.03240223463687151,0.029246344206974133,0.032679738562091505,0.044956554590102,0.0077279752704791345,0.0,0.014205031661817559,0.008982035928143712,0.06544117647058822,0.015045460461009647,0.01838235294117647,0.02469135802469136,0.059900166389351084,0.30769230769230765,0.019012243596265084,0.0,0.0,0.04285714285714286,0.0,0.1276595744680851,0.03614457831325302,0.6728110599078341,0.0425531914893617,0.0032782635706033393,0.00029672849876908317,0.009136261226671424,0.0024851287303459166,0.004410838059231254,0.029130126717463185,0.01051051051051051,0.008842584486079497,0.017137659931054216,0.02353795934087396,0.00033526509890320416,0.0072123697080472265,0.0004575288177323687,0.01630709426627794,0.0041430557332869595,0.013327664470243698,0.00026268904081209863,0.00027348014304536043,0.001012288052189073,0.03952964414786867,0.009550673000791767,0.29042169479449614,0.12549019607843137
Norway,0.2569444444444445,0.0036373595344653233,0.0027749411084873584,0.0028029928983773766,0.002914288312191346,0.011425061425061426,0.0,0.0058823529411764705,0.007436939354442997,0.0,0.0359955005624297,0.004357298474945534,0.008689081979599547,0.0077279752704791345,0.0,0.005647783672770836,0.0,0.006470588235294117,0.01650509468483894,0.008126934984520124,0.0,0.0,0.05702917771883289,0.013348735535482667,0.0,0.0,0.08571428571428572,0.0,0.0851063829787234,0.07228915662650603,0.08294930875576037,0.10638297872340426,0.010833689018599175,0.03208146180704127,0.01583098675817042,0.02331670811494758,0.008947700063011972,0.0036184818549629297,0.21171171171171171,0.15058658728769042,0.013107874262511752,0.014107163413772566,0.09674792854063892,0.011213752902237811,0.026734824197020467,0.12024003887269193,0.004974291836058366,0.03230749921556322,2.4238657551274085e-05,0.00022604931300583474,8.034032160230738e-06,0.018896479917003182,0.12444576405384007,0.11426281337667542,0.01546078431372549
Portugal,0.2638888888888889,0.007263618319288908,0.006853224282586239,0.006454958630370711,0.005254252211203262,0.011793611793611793,0.042339999999999996,0.0036323529411764702,0.008816989956298399,0.015642458100558657,0.0,0.020697167755991286,0.008689081979599547,0.021638330757341576,0.004958677685950413,0.005305493753208968,0.0,0.004999999999999999,0.027416626050388002,0.0046439628482972135,0.01352145796590241,0.0,0.2572944297082228,0.006846572276469048,0.0,0.0,0.02857142857142857,0.0,0.10638297872340426,0.024096385542168676,0.09216589861751152,0.0,0.005154270569595503,0.017879295082497443,0.016803802401422624,0.01556333714405473,0.008380592312539382,0.0063549988704278,0.02702702702702703,0.08720014008054632,0.012338025098445313,0.02044513575468085,0.0006193783227166052,0.009336560786444698,7.386292568283707e-05,0.0,0.0049217927137780665,0.0015061186068402886,0.0,0.0,0.00016068064320461475,0.0053441074476109785,0.008872723673792557,0.05450416351249054,0.007490196078431373
South Africa,0.27083333333333337,0.04246800939470071,0.03628069621173241,0.023834088933428494,0.042820921873970005,0.035004914004914005,0.005869999999999999,0.007352941176470587,0.013953844974315725,0.0011173184357541898,0.0,0.013071895424836603,0.030600680015111445,0.0,0.0,0.014889611500941296,0.00998003992015968,0.03705882352941176,0.047484044819957175,0.009481424148606811,0.0157554379776602,0.03361064891846922,0.0649867374005305,0.007214310675693454,0.0,0.0,0.04285714285714286,0.0,0.0851063829787234,0.0,0.15207373271889402,0.0425531914893617,0.002517134346235584,0.0026067277372254253,0.027472008849730136,0.018108856747269093,0.03604284814114682,0.0320490439711651,0.012012012012012012,0.00963053755909648,0.07148696706680656,0.11359660832749395,0.004550026342257771,0.029590475720001976,4.937361342435633e-05,5.746161321671526e-05,0.004907574201493819,0.0,0.050852910710586285,0.033154150197628456,0.039740340080581346,0.07126008837654438,0.013846001583531276,0.23351293583292512,0.0
Philippines,0.2777777777777778,0.08334965564356336,0.06645651151413168,0.06652941785601536,0.08880453143924144,0.07371007371007371,0.24,0.005147058823529412,0.015487234531932839,0.0,0.028121484814398204,0.028322440087145972,0.008689081979599547,0.012364760432766615,0.0,0.020879685093274,0.001996007984031936,0.0014705882352941176,0.03009602453818653,0.0023219814241486067,0.034567901234567905,0.0,0.14986737400530503,0.015903182584640557,0.0,0.0,0.0,0.0,0.0425531914893617,0.012048192771084338,0.2672811059907834,0.0,0.004878288598927805,0.004015829245524548,0.0362805817727729,0.030065436527796592,0.015311909262759923,0.06326502844468176,0.10510510510510511,0.1928734022062686,0.00026229374173945033,0.03255703689124226,0.0004789501412902917,0.022279306426913007,0.0004558830306182235,0.0021875607385811466,0.002461990088603206,0.0020613534149147576,0.0030004143360265177,0.006988518727649162,0.0014501428049216482,0.01750434843690516,0.17957739509105305,0.0,0.031558823529411764
