Country,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,roadway_coverage_km,railway_coverage_km,total_serviceable_airports,waterway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,NATO,alliance,region_africa,region_asia,region_europe,region_middle_east,region_north_america,region_south_america,capital_city
Bulgaria,6782659.0,3187850.0,2611324.0,61044.0,37000.0,3000.0,0.0,65.0,10.0,5.0,6.0,21.0,0.0,0.0,27.0,4.0,90.0,4914.0,48.0,24.0,24.0,36.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,10.0,1373232000.0,214061000000.0,27138500000.0,46334000000.0,3103000.0,78.0,2.0,19512.0,4029.0,111.0,470.0,4000.0,101000.0,15000000.0,20837000.0,2801000000.0,5663000000.0,35516000.0,35970000.0,2366000000.0,110880.0,354.0,1806.0,1.2563,1.2563,,,1.2563,,,,Sofia
Burkina Faso,23042199.0,8525614.0,6060098.0,368675.0,12000.0,0.0,4500.0,25.0,0.0,3.0,2.0,0.0,2.0,0.0,18.0,5.0,0.0,491.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81280000.0,57152000000.0,3145000000.0,47138000.0,8577000.0,0.0,0.0,15304.0,622.0,49.0,0.0,0.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274200.0,0.0,3611.0,,,2.9734,,,,,,Ouagadougou
Cambodia,17063669.0,8190561.0,5733393.0,307146.0,221000.0,0.0,10000.0,25.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,0.0,644.0,3627.0,30.0,430.0,463.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,860000000.0,85900000000.0,13200000000.0,17801000000.0,9175000.0,195.0,2.0,47263.0,642.0,13.0,3700.0,0.0,73000.0,0.0,0.0,0.0,0.0,113000.0,2215000.0,0.0,181035.0,443.0,2530.0,,,,2.0752,,,,,Phnom Penh
Cameroon,30966105.0,10528476.0,6224187.0,495458.0,40000.0,0.0,12500.0,35.0,0.0,0.0,6.0,6.0,2.0,0.0,21.0,0.0,0.0,430.0,18.0,52.0,20.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,554952283.0,138925000000.0,9506000000.0,5754093000.0,11965000.0,198.0,7.0,77589.0,987.0,37.0,0.0,54000.0,40000.0,200000000.0,2595000000.0,877058000.0,135071000000.0,0.0,0.0,0.0,475440.0,400.0,5018.0,,,2.0501,,,,,,Yaounde
Canada,38794813.0,16681770.0,13500595.0,426743.0,68000.0,27000.0,5500.0,351.0,66.0,0.0,28.0,95.0,33.0,6.0,145.0,0.0,74.0,21704.0,0.0,0.0,0.0,73.0,0.0,0.0,4.0,0.0,12.0,0.0,24.0,0.0,41000000000.0,2238000000000.0,2337375700000.0,117551000000.0,22110000.0,716.0,284.0,1042300.0,4942.0,1425.0,636.0,5692000.0,2454000.0,170300000000.0,187686000000.0,130316000000.0,2067126000000.0,43024000.0,17138000.0,6582000000.0,9984670.0,202080.0,8893.0,0.5179,,,,,,0.5179,,Ottawa
Central African Republic,5650957.0,2203873.0,1254512.0,101717.0,10000.0,0.0,1000.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45990000.0,5849000000.0,666293000.0,374405000.0,2114000.0,0.0,0.0,24000.0,0.0,43.0,2800.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,622984.0,0.0,5920.0,,,4.2347,,,,,,Bangui
Chad,19093595.0,6873694.0,3856906.0,381872.0,33250.0,0.0,5000.0,40.0,0.0,7.0,7.0,8.0,2.0,0.0,16.0,3.0,90.0,3316.0,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381350000.0,32446000000.0,2038000000.0,211591000.0,5806000.0,0.0,0.0,40000.0,0.0,42.0,12400.0,124000.0,15000.0,1500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1284000.0,0.0,6406.0,,,1.8712,,,,,,N'Djamena
Chile,18664652.0,8959033.0,7521855.0,298634.0,80000.0,40000.0,50000.0,277.0,45.0,0.0,32.0,92.0,21.0,5.0,87.0,0.0,386.0,8832.0,48.0,249.0,8.0,130.0,0.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,5032500000.0,579201000000.0,214500000000.0,46377000000.0,9848000.0,249.0,39.0,77801.0,7282.0,374.0,12290.0,11000.0,405000.0,150000000.0,1200000000.0,6916000000.0,97976000000.0,499000.0,8637000.0,1181000000.0,756102.0,6435.0,7801.0,,,,,,,,0.8361,Santiago de Chile
China,1415043270.0,764123366.0,626864169.0,19810606.0,2035000.0,510000.0,625000.0,3309.0,1212.0,371.0,289.0,402.0,112.0,10.0,913.0,281.0,6800.0,144017.0,3490.0,1000.0,2750.0,754.0,3.0,4.0,61.0,50.0,47.0,72.0,150.0,36.0,266850000000.0,31227000000000.0,1218458500000.0,3450000000000.0,779246000.0,8314.0,66.0,5200000.0,150000.0,531.0,27700.0,4984000.0,15148000.0,26023000000.0,225341000000.0,366160000000.0,6654000000000.0,4827000000.0,5313000000.0,143197000000.0,9596960.0,14500.0,22457.0,,,,0.0788,,,,,Peking
Colombia,49588357.0,24298295.0,19190694.0,843002.0,293200.0,35000.0,150000.0,436.0,16.0,24.0,86.0,72.0,23.0,1.0,257.0,0.0,0.0,3460.0,6.0,110.0,0.0,233.0,0.0,0.0,4.0,0.0,7.0,2.0,217.0,0.0,10541500000.0,978024000000.0,116779500000.0,59041000000.0,26003000.0,153.0,14.0,205379.0,2141.0,662.0,24725.0,800000.0,320000.0,2036000000.0,11290000000.0,11451000000.0,87782000000.0,58747000.0,7880000.0,4554000000.0,1138910.0,3208.0,6672.0,,,,,,,,0.8353,Bogota
Croatia,4150116.0,2033557.0,1564594.0,53952.0,14325.0,20100.0,2000.0,67.0,10.0,0.0,0.0,28.0,0.0,0.0,37.0,0.0,45.0,2848.0,25.0,42.0,42.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1176000000.0,159305000000.0,55000000000.0,3176000000.0,1744000.0,384.0,16.0,26958.0,2617.0,40.0,4714.0,11000.0,70000.0,71000000.0,741456000.0,2502000000.0,24919000000.0,0.0,702000.0,0.0,56594.0,5835.0,2237.0,1.5074,1.5074,,,1.5074,,,,Zagreb
Cuba,10966038.0,5921661.0,4737328.0,142558.0,45500.0,40000.0,1145000.0,31.0,11.0,0.0,4.0,3.0,0.0,0.0,13.0,4.0,113.0,6864.0,60.0,130.0,15.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,4508784000.0,141400000000.0,33066000000.0,10442000000.0,5317000.0,65.0,34.0,60000.0,8367.0,123.0,240.0,34000.0,165000.0,124000000.0,659434000.0,659434000.0,70792000000.0,0.0,2000.0,0.0,110860.0,3735.0,29.0,,,,,,,,,La Habana
Czechia,10837890.0,5093808.0,4129236.0,97541.0,28000.0,4200.0,0.0,99.0,12.0,16.0,10.0,17.0,2.0,0.0,42.0,4.0,43.0,6340.0,50.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6750000000.0,519007000000.0,211200000000.0,148379000000.0,5502000.0,0.0,0.0,55744.0,9548.0,243.0,664.0,4000.0,211000.0,15000000.0,224725000.0,7602000000.0,3964000000.0,37423000.0,40239000.0,3595000000.0,78867.0,0.0,2046.0,0.9994,0.9994,,,0.9994,,,,
Democratic Republic of the Congo,115403027.0,39237029.0,31389623.0,2538867.0,166580.0,31000.0,10000.0,46.0,1.0,6.0,6.0,1.0,0.0,0.0,32.0,8.0,105.0,916.0,8.0,60.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,796560000.0,154012000000.0,4994000000.0,3898125000.0,35983000.0,24.0,3.0,152373.0,4007.0,272.0,15000.0,19000.0,26000.0,180000000.0,380000.0,380000.0,991090000.0,0.0,23000.0,987999000.0,2344858.0,37.0,10481.0,,,1.3111,,,,,,
Denmark,5973136.0,2628180.0,2126436.0,77651.0,20000.0,12000.0,51000.0,117.0,31.0,4.0,4.0,41.0,3.0,0.0,34.0,0.0,44.0,3856.0,19.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,6.0,7225466250.0,428385000000.0,555500000000.0,109371000000.0,3180000.0,715.0,69.0,74558.0,2682.0,99.0,400.0,63000.0,152000.0,441000000.0,1879000000.0,2208000000.0,29534000000.0,0.0,1788000.0,0.0,43094.0,7314.0,140.0,0.8109,0.8109,,,0.8109,,,,Copenhagen
Dominican Republic,10815857.0,4975294.0,4034315.0,97343.0,50000.0,0.0,30000.0,79.0,0.0,8.0,11.0,17.0,1.0,0.0,50.0,0.0,5.0,540.0,0.0,11.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,810800000.0,261616000000.0,27500000000.0,15547000000.0,5302000.0,40.0,17.0,19705.0,496.0,32.0,0.0,0.0,134000.0,0.0,0.0,2440000000.0,0.0,0.0,2188000.0,0.0,48320.0,1288.0,376.0,,,,,,,,,Santo Domingo de Guzm
Ecuador,18309984.0,8422593.0,6738074.0,329580.0,41250.0,118000.0,1500.0,102.0,0.0,0.0,20.0,34.0,8.0,0.0,46.0,0.0,54.0,5204.0,5.0,106.0,24.0,30.0,0.0,0.0,2.0,0.0,2.0,6.0,5.0,0.0,2376000000.0,260213000000.0,44898000000.0,4442000000.0,8893000.0,154.0,6.0,43950.0,965.0,310.0,1500.0,480000.0,225000.0,8273000000.0,309778000.0,309778000.0,10902000000.0,0.0,21000.0,24000000.0,283560.0,2237.0,2237.0,,,,,,,,1.3021,Quito
Egypt,111247248.0,45611372.0,38269053.0,1668709.0,440000.0,480000.0,300000.0,1093.0,238.0,90.0,61.0,345.0,11.0,0.0,348.0,100.0,3620.0,41012.0,1056.0,962.0,528.0,150.0,0.0,2.0,8.0,0.0,13.0,7.0,62.0,17.0,5879500000.0,1912000000000.0,103750000000.0,33070000000.0,33431000.0,441.0,31.0,65050.0,5085.0,73.0,3500.0,667000.0,851000.0,3300000000.0,64817000000.0,60089000000.0,1784000000000.0,289000.0,3083000.0,182000000.0,1001450.0,2450.0,2612.0,,,0.3427,,,0.3427,,,Cairo
El Salvador,6628702.0,3181777.0,2512278.0,145831.0,25000.0,10000.0,15000.0,52.0,0.0,15.0,4.0,10.0,0.0,0.0,30.0,0.0,0.0,1844.0,0.0,76.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,334620000.0,71957000000.0,14258000000.0,3799434000.0,2870000.0,5.0,3.0,9012.0,13.0,27.0,422.0,3.0,58000.0,0.0,0.0,226472.0,0.0,0.0,500.0,0.0,21041.0,307.0,590.0,,,,,,,,,San Salvador
Eritrea,6343956.0,2220385.0,1598677.0,76127.0,120000.0,130000.0,0.0,20.0,1.0,0.0,5.0,1.0,0.0,0.0,13.0,6.0,65.0,860.0,23.0,75.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,198000000.0,9702000000.0,635504500.0,225014976.0,1800000.0,9.0,2.0,16000.0,306.0,10.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117600.0,2234.0,1840.0,,,2.6985,,,,,,Asmara
Estonia,1193791.0,584958.0,456028.0,13132.0,7700.0,78800.0,10000.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,1685.0,36.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1463360000.0,57377000000.0,26400000000.0,2593000000.0,752000.0,72.0,20.0,58412.0,1441.0,26.0,335.0,24000.0,28000.0,0.0,0.0,354912000.0,0.0,0.0,3000.0,0.0,45228.0,3794.0,657.0,2.2917,2.2917,,,2.2917,,,,Tallinn
Ethiopia,118550298.0,56904143.0,35327989.0,2726657.0,162000.0,0.0,0.0,103.0,25.0,0.0,8.0,34.0,0.0,0.0,33.0,7.0,338.0,7256.0,35.0,309.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097575000.0,354604000000.0,25761000000.0,3131288000.0,61664000.0,12.0,0.0,120171.0,659.0,57.0,0.0,0.0,110000.0,428000.0,0.0,0.0,24919000000.0,8000.0,660000.0,0.0,1104300.0,0.0,5925.0,,,0.9305,,,,,,Addis Abeba
Finland,5626414.0,2306830.0,1912981.0,56264.0,24000.0,870000.0,53800.0,163.0,54.0,0.0,11.0,77.0,1.0,0.0,27.0,0.0,200.0,11704.0,107.0,667.0,76.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,6779661000.0,321126000000.0,660000000000.0,16929000000.0,2880000.0,282.0,37.0,454000.0,5918.0,98.0,8000.0,8000.0,175000.0,0.0,0.0,1157000000.0,0.0,808000.0,4141000.0,0.0,338145.0,1250.0,2563.0,0.8437,0.8437,,,0.8437,,,,Helsinki [Helsingfors]
France,68374591.0,30084820.0,23794358.0,752121.0,200000.0,26000.0,150000.0,976.0,226.0,0.0,119.0,141.0,44.0,16.0,448.0,68.0,215.0,110932.0,96.0,0.0,9.0,129.0,1.0,3.0,9.0,11.0,11.0,0.0,20.0,17.0,55000000000.0,3764000000000.0,6992104900000.0,240792000000.0,31825000.0,553.0,66.0,1053215.0,27860.0,689.0,8501.0,80000.0,1554000.0,61719000.0,20132000.0,37001000000.0,7787000000.0,2419000.0,12985000.0,160000000.0,643801.0,4853.0,4072.0,0.1878,0.1878,,,0.1878,,,,Paris
