country,power_index_rank,population,total_personnel,manpowerfitformilitaryservice,manpowerreachingmilitaryageannually,active_personnel,reserve_personnel,manpowerparamilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircrafttotaltrainers,aircrafttotalspecialmission,aircrafttotaltankerfleet,helicopters,aircrafthelicoptersattack,tanks,armored_vehicles,armorselfpropelledgunstotal,artillery_units,armormlrstotal,naval_assets,navyforcebytonnage,aircraft_carriers,navyhelocarriers,navysubmarines,navydestroyers,navyfrigates,navycorvettes,navypatrolcoastalcraft,navyminewarfarecraft,defense_budget_usd,externaldebtbycountry,gdp_usd,reservesofforeignexchangeandgold,majorserviceableairportsbycountry,laborforcebycountry,majorportsandterminals,merchantmarinestrengthbycountry,roadwaycoverage,railwaycoverage,oilproductionbycountry,oilconsumptionbycountry,provenoilreservesbycountry,naturalgasproductionbycountry,naturalgasconsumptionbycountry,provennaturalgasreservesbycountry,coalproductionbycountry,coalconsumptionbycountry,provencoalreservesbycountry,land_area_sq_km,coastline_km,bordercoverage,waterwaycoverage,capital_city,continent,region,alliance,year,power_index_score
Mexico,32,130739927,61447766,49811912,2222579,412000,98655,120000,433,3,33,41,176,25,0,178,0,0,19658,20,70,0,167,124962,0,0,0,5,1,3,140,0,7600000000,3.71E+11,2.87E+12,2.14E+11,1485,60042000,35,674,704884,23389,2101000,1737000,5786000000,31422000000,90566000000,1.80E+11,7453000,18423000,1211000000,1964375,9330,4389,2900,Mexico City,North America,Central America,Non-NATO,2025,0.5965
Argentina,33,46994384,20677529,17575900,704916,108000,0,20000,239,23,11,52,71,13,2,94,0,342,21724,55,172,26,44,122128,0,0,2,3,0,6,13,0,928897000,1.79E+11,1.24E+12,23081000000,756,21906000,37,201,281290,17866,807000,706000,2483000000,43280000000,46228000000,3.96E+11,1318000,3391000,799999000,2780400,4989,11968,11000,Buenos Aires,South America,South America,Non-NATO,2025,0.6013
North Korea,34,26298666,9467520,5312331,420779,1320000,560000,100000,861,368,114,1,173,0,0,205,20,4344,18288,1300,700,1500,207,143304,0,0,13,0,2,4,155,1,4736000000,5500000000,72000000000,5500000000,83,15837000,10,264,25554,7435,0,17000,0,0,0,0,21747000,21747000,10600000000,120538,2495,1607,2250,Pyongyang,Asia,East Asia,Non-NATO,2025,0.6016
Bangladesh,35,168697184,82661620,66129296,3205246,163000,0,6800000,214,42,0,17,86,4,0,65,0,320,11584,56,546,110,118,75280,0,0,2,0,7,6,61,5,4374000000,51965000000,1.41E+12,21860000000,17,74914000,2,558,369105,2460,13000,160000,28000000,24620000000,30384000000,1.26E+11,754000,7514000,3260000000,148460,580,4413,8370,Dhaka,Asia,South Asia,Non-NATO,2025,0.6062
Netherlands,36,17772378,7997570,6486918,195496,41380,6765,5000,120,32,0,4,21,0,0,63,12,18,2755,46,0,2,64,124962,0,0,3,0,6,0,4,4,27000000000,4.78E+12,1.24E+12,69830000000,45,9999000,18,1187,139124,3055,70000,872000,137747000,17774000000,33243000000,1.33E+11,1825000,10610000,3247000000,41543,451,1053,6237,Amsterdam,Europe,Western Europe,NATO,2025,0.6412
Myanmar,37,57527139,30489384,21975367,1035489,150000,20000,55000,317,58,26,30,119,5,0,83,9,445,5980,95,210,180,232,89240,0,0,3,0,6,3,146,2,2948000000,7253400000,2.91E+11,8590400000,73,22884000,7,101,157000,5031,7000,148000,139000000,16780000000,3788000000,6.37E+11,1268000,1453000,252000000,676578,1930,6522,12800,Naypyidaw,Asia,Southeast Asia,Non-NATO,2025,0.6735
Norway,38,5509733,2203893,1807192,71627,23250,0,40000,97,0,32,4,23,5,0,33,0,44,6552,42,0,0,43,65692,0,0,6,0,4,6,18,5,9710000000,7.16E+11,5.00E+11,80459000000,145,3009000,141,1720,94902,3848,2020000,229000,8122200000,1.24E+11,4548000000,1.54E+12,117000,1201000,2000000,323802,25148,2566,1577,Oslo,Europe,Northern Europe,NATO,2025,0.6811
Portugal,39,10639726,5319863,4096295,127677,24000,211700,24700,115,28,0,19,23,14,3,31,0,34,10828,24,115,0,194,38657,0,0,2,0,5,2,20,0,4627000000,3.99E+11,5.30E+11,53710000000,136,5140900,18,996,136635,3622,12932,191000,22440000,0,4500000000,72000000000,0,0,40000000,92090,1793,1224,764,Lisbon,Europe,Western Europe,NATO,2025,0.6856
South Africa,40,60442647,27803618,14989776,1027525,71235,29350,50000,182,2,0,12,81,0,0,87,10,252,18692,49,134,101,49,40186,0,0,3,0,4,0,33,2,2266800000,58773000000,8.63E+11,62492000000,575,25158000,8,110,750000,20986,95000,601000,15000000,59128000,4487000000,0,245467000,176148000,9893000000,1219090,2798,5244,0,Pretoria,Africa,Southern Africa,Non-NATO,2025,0.6889
Philippines,41,118277063,50859137,41751803,2128987,150000,1200000,35000,202,0,25,26,23,8,0,122,2,10,11878,12,294,0,113,76313,0,0,0,0,2,1,58,0,4380000000,90200000000,1.14E+12,1.04E+11,246,49477000,70,2203,216387,77,10000,453000,138500000,2251000000,2251000000,98543000000,14483000,37130000,361000000,300000,36289,0,3219,Manila,Asia,Southeast Asia,Non-NATO,2025,0.6987
Malaysia,42,34564810,16245461,13480276,553037,113000,51600,100000,135,26,12,16,31,6,4,45,0,48,13506,0,196,36,100,67735,0,0,2,0,2,6,71,4,4800000000,2.48E+11,1.15E+12,1.13E+11,102,17308000,35,1750,144403,1851,582000,717000,3600000000,75456000000,42499000000,1.19E+12,3731000,35050000,226000000,329847,4675,2742,7200,Kuala Lumpur,Asia,Southeast Asia,Non-NATO,2025,0.7429
Iraq,43,42083436,17675043,14308368,715418,193000,0,100000,391,26,36,15,139,17,0,197,39,1025,37288,434,610,572,68,124962,0,0,0,0,0,2,26,0,7923000000,45032500000,5.73E+11,1.12E+11,71,11812000,6,74,59623,2272,4437000,918000,1.45E+11,9860000000,19298000000,3.73E+12,0,0,0,438317,58,3809,5279,Baghdad,Asia,Middle East,Non-NATO,2025,0.7738
Switzerland,44,8860574,3898653,3163225,97466,101584,49715,5000,146,43,0,16,44,3,0,40,0,205,6996,133,0,0,0,124962,0,0,0,0,0,0,0,0,25039000000,2.20E+12,7.34E+11,8.64E+11,62,4991000,0,17,71557,5296,300,193000,0,0,3138000000,0,0,161000,0,41277,0,1770,1292,Bern,Europe,Western Europe,Others,2025,0.7869
Denmark,45,5973136,2628180,2126436,77651,20000,12000,51000,117,31,4,4,41,3,0,34,0,44,3856,19,0,8,50,121180,0,0,0,0,9,0,9,6,7225466250,5.56E+11,4.28E+11,1.09E+11,99,3180000,69,715,74558,2682,63000,152000,441000000,1879000000,2208000000,29534000000,0,1788000,0,43094,7314,140,400,Copenhagen,Europe,Northern Europe,NATO,2025,0.8109
Colombia,46,49588357,24298295,19190694,843002,293200,35000,150000,436,16,24,86,72,23,1,257,0,0,3460,6,110,0,233,31090,0,0,4,0,7,2,217,0,10541500000,1.17E+11,9.78E+11,59041000000,662,26003000,14,153,205379,2141,800000,320000,2036000000,11290000000,11451000000,87782000000,58747000,7880000,4554000000,1138910,3208,6672,24725,Bogota,South America,South America,Non-NATO,2025,0.8353
Chile,47,18664652,8959033,7521855,298634,80000,40000,50000,277,45,0,32,92,21,5,87,0,386,8832,48,249,8,130,176065,0,0,4,0,8,0,40,0,5032500000,2.15E+11,5.79E+11,46377000000,374,9848000,39,249,77801,7282,11000,405000,150000000,1200000000,6916000000,97976000000,499000,8637000,1181000000,756102,6435,7801,12290,Santiago,South America,South America,Non-NATO,2025,0.8361
Finland,48,5626414,2306830,1912981,56264,24000,870000,53800,163,54,0,11,77,1,0,27,0,200,11704,107,667,76,264,19434,0,0,0,0,0,0,8,18,6779661000,6.60E+11,3.21E+11,16929000000,98,2880000,37,282,454000,5918,8000,175000,0,0,1157000000,0,808000,4141000,0,338145,1250,2563,8000,Helsinki,Europe,Northern Europe,NATO,2025,0.8437
Peru,49,32600249,15648120,12681497,619405,120000,385000,60000,256,15,22,38,72,12,0,111,16,240,6560,12,290,49,71,170344,0,0,4,0,7,8,13,0,3420000000,59400000000,5.18E+11,71394000000,166,18529000,20,111,18699,1855,118000,210000,858890000,12270000000,7185000000,3.00E+11,153000,712000,1567000000,1285216,2414,7062,8808,Lima,South America,South America,Non-NATO,2025,0.8588
Venezuela,50,31250306,15625153,12812625,625006,109000,8000,220000,229,30,0,49,75,3,1,88,10,172,8802,48,100,36,34,124962,0,0,1,0,1,0,25,0,4093120000,1.10E+11,2.96E+11,10095500000,502,11548000,31,272,96189,447,761000,367000,3.04E+11,17696000000,17696000000,5.67E+12,197000,82000,730999000,912050,2800,5267,7100,Caracas,South America,South America,Non-NATO,2025,0.8882
Romania,51,18148155,9437041,7731114,199630,81300,55000,15000,140,21,0,14,44,2,0,65,0,328,10774,0,720,243,20,124962,0,0,0,0,3,7,3,5,9700000000,1.32E+11,7.72E+11,73000000000,82,8282000,11,127,84185,10628,67000,221000,600000000,9501000000,10055000000,1.05E+11,18160000,19404000,291000000,238391,225,2844,1731,Bucharest,Europe,Eastern Europe,NATO,2025,0.8984
Ethiopia,52,118550298,56904143,35327989,2726657,162000,0,0,103,25,0,8,34,0,0,33,7,338,7256,35,309,40,0,124962,0,0,0,0,0,0,0,0,2097575000,25761000000,3.55E+11,3131288000,57,61664000,0,12,120171,659,0,110000,428000,0,0,24919000000,8000,660000,0,1104300,0,5925,0,Addis Ababa,Africa,East Africa,Non-NATO,2025,0.9305
Czechia,53,10837890,5093808,4129236,97541,28000,4200,0,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,124962,0,0,0,0,0,0,0,0,6750000000,2.11E+11,5.19E+11,1.48E+11,243,5502000,0,0,55744,9548,4000,211000,15000000,224725000,7602000000,3964000000,37423000,40239000,3595000000,78867,0,2046,664,Prague,Europe,Central Europe,NATO,2025,0.9994
United Arab Emirates,54,10032213,5818684,4945881,80258,65000,130000,12000,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,44188,0,0,0,0,0,11,34,2,2212360382,2.64E+11,7.20E+11,1.89E+11,42,6668000,20,655,4080,0,4146000,939000,97800000000,56683000000,66091000000,6091000000,0,3273000,0,83600,1318,1066,0,Abu Dhabi,Asia,Middle East,Non-NATO,2025,1.0186
Hungary,55,9855745,4632200,3794462,118269,41600,20000,15000,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,124962,0,0,0,0,0,0,0,0,4576000000,1.38E+11,3.89E+11,45719000000,109,5006000,0,1,203601,7687,36000,175000,12100000,1523000000,9485000000,3738000000,5450000,6180000,2909000000,103000,0,2106,1622,Budapest,Europe,Central Europe,NATO,2025,1.0259
Angola,56,37202061,7440412,3720206,372021,107000,0,10000,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,124962,0,0,0,0,0,0,29,0,1101360000,45774500000,2.66E+11,13942000000,106,15223000,21,64,26000,2761,1175000,127000,7783000000,5514000000,1397000000,3.43E+11,0,0,0,1246700,1600,5369,1300,Luanda,Africa,Southern Africa,Non-NATO,2025,1.0961
Kazakhstan,57,20260006,9117003,6928922,283640,110000,135000,55000,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,124962,0,0,0,0,0,0,23,2,2048700000,91321500000,7.06E+11,35965000000,132,9587000,0,122,96167,16636,1955000,288000,30000000000,27011000000,22623000000,2.41E+12,118195000,84852000,25605000000,2724900,26,13364,43983,Astana,Asia,Central Asia,Non-NATO,2025,1.1016
Uzbekistan,58,36520593,18990708,15959499,730412,48000,0,20000,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,124962,0,0,0,0,0,0,0,0,2803500000,19652500000,3.19E+11,34558000000,74,14270000,0,0,86496,4642,64000,91000,594000000,47500000000,43227000000,1.84E+12,5356000,7396000,1375000000,447400,420,6893,1100,Tashkent,Asia,Central Asia,Non-NATO,2025,1.1121
Morocco,59,37387585,17946041,15254135,635589,195800,150000,50000,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,124962,0,0,0,0,6,1,105,0,13400000000,45645000000,3.37E+11,36328000000,49,12284000,12,94,57300,2067,25,318000,684000,82595000,243201000,1444000000,0,11940000,96000000,715550,1835,2363,0,Rabat,Africa,North Africa,Non-NATO,2025,1.1273
Azerbaijan,60,10650239,5218617,3908638,159754,126400,300000,15000,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,124962,0,0,4,0,0,0,17,4,5000000000,16159500000,2.16E+11,13749000000,32,5473000,0,312,24981,2944,618000,105000,7000000000,34175000000,11759000000,1.70E+12,0,60000,0,86600,713,2468,0,Baku,Asia,Caucasus,Non-NATO,2025,1.2531
Belgium,61,11977634,4910830,3880753,119776,25000,6400,0,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,10190,0,0,0,0,2,0,2,5,10200000000,1.45E+12,7.52E+11,40813000000,49,5432000,7,198,118414,3602,11000,585000,0,13436000,15347000000,0,1270000,4869000,4100000000,30528,67,1297,2043,Brussels,Europe,Western Europe,NATO,2025,1.2564
Bulgaria,62,6782659,3187850,2611324,61044,37000,3000,0,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,124962,0,0,0,0,4,3,0,10,1373232000,27138500000,2.14E+11,46334000000,111,3103000,2,78,19512,4029,4000,101000,15000000,20837000,2801000000,5663000000,35516000,35970000,2366000000,110880,354,1806,470,Sofia,Europe,Eastern Europe,NATO,2025,1.2563
Serbia,63,6652212,3259584,2574406,79827,25000,2000,600000,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,124962,0,0,0,0,0,0,7,5,2287461000,35200000000,1.62E+11,27569000000,43,3333000,0,0,44248,3333,13000,82000,77500000,353376000,2939000000,48139000000,35129000,38297000,7514000000,77474,0,2322,587,Belgrade,Europe,Southeast Europe,Non-NATO,2025,1.2576
