Country,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage,Capital,Captal Population,power_index_rank
Sudan,50467278,26747657,17108407,1312149,92000,85000,17500,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,,0,0,0,0,0,0,6,0,$                        							342000000,$                        							37846000000,$                        							136039000000,$                        							206763700,41,13590000,4,"7251                        						
							km","31000                        						
							km","68000                        						
							bbl","127000                        						
							bbl","1250000000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","84951000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1861484                        						
							km","853                        						
							km","6819                        						
							km","4068                        						
							km","Washington, D.C.","5,434,000",73
Colombia,49588357,24298295,19190694,843002,293200,35000,150000,436,16,24,86,72,23,1,257,0,0,3460,6,110,0,233,31090,0,0,4,0,7,2,217,0,$                        							10541500000,$                        							116779500000,$                        							978024000000,$                        							59041000000,662,26003000,14,"2141                        						
							km","205379                        						
							km","800000                        						
							bbl","320000                        						
							bbl","2036000000                        						
							bbl","11290000000                        						
							Cu.M","11451000000                        						
							Cu.M","87782000000                        						
							Cu.M","58747000                        						
							Cu.M","7880000                        						
							mt","4554000000                        						
							Cu.M","1138910                        						
							km","3208                        						
							km","6672                        						
							km","24725                        						
							km",Ankara,"5,397,000",46
Uganda,49283041,16756234,9905891,985661,45000,0,10000,51,6,0,0,12,0,0,30,6,259,3862,6,26,12,0,,0,0,0,0,0,0,0,0,$                        							985400000,$                        							11818000000,$                        							135668000000,$                        							3506500000,39,18881000,0,"1244                        						
							km","20544                        						
							km","0                        						
							bbl","43000                        						
							bbl","2500000000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","14158000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","800000000                        						
							Cu.M","241038                        						
							km","0                        						
							km","2729                        						
							km","0                        						
							km",Hanoi,"5,253,000",114
Spain,47280433,21748999,17635602,330963,133282,15150,78470,461,137,12,51,140,8,0,153,17,317,17626,95,287,0,152,215346,1,0,2,0,11,0,22,6,$                        							23397000000,$                        							2572738300000,$                        							2242000000000,$                        							103089000000,363,24108000,52,"15489                        						
							km","683175                        						
							km","47000                        						
							bbl","1269000                        						
							bbl","150000000                        						
							bbl","41009000                        						
							Cu.M","32833000000                        						
							Cu.M","2549000000                        						
							Cu.M","1293000                        						
							Cu.M","8255000                        						
							mt","1187000000                        						
							Cu.M","505370                        						
							km","4964                        						
							km","1953                        						
							km","1000                        						
							km",Addis Ababa,"5,228,000",17
Algeria,47022473,22570787,19185169,752360,325000,135000,150000,608,102,42,63,87,10,5,299,74,1485,26000,224,483,266,110,82880,0,0,6,0,8,8,75,2,$                        							25000000000,$                        							3335624000,$                        							699947000000,$                        							81217000000,85,13425000,17,"4020                        						
							km","104000                        						
							km","1443000                        						
							bbl","428000                        						
							bbl","12200000000                        						
							bbl","100726000000                        						
							Cu.M","47963000000                        						
							Cu.M","4504000000000                        						
							Cu.M","0                        						
							Cu.M","167000                        						
							mt","233000000                        						
							Cu.M","2381740                        						
							km","998                        						
							km","6734                        						
							km","0                        						
							km",Nairobi,"5,119,000",26
Argentina,46994384,20677529,17575900,704916,108000,0,20000,239,23,11,52,71,13,2,94,0,342,21724,55,172,26,44,122128,0,0,2,3,0,6,13,0,$                        							928897000,$                        							178940000000,$                        							1235000000000,$                        							23081000000,756,21906000,37,"17866                        						
							km","281290                        						
							km","807000                        						
							bbl","706000                        						
							bbl","2483000000                        						
							bbl","43280000000                        						
							Cu.M","46228000000                        						
							Cu.M","396464000000                        						
							Cu.M","1318000                        						
							Cu.M","3391000                        						
							mt","799999000                        						
							Cu.M","2780400                        						
							km","4989                        						
							km","11968                        						
							km","11000                        						
							km",Brasilia,"4,804,000",33
Iraq,42083436,17675043,14308368,715418,193000,0,100000,391,26,36,15,139,17,0,197,39,1025,37288,434,610,572,68,,0,0,0,0,0,2,26,0,$                        							7923000000,$                        							45032500000,$                        							572939000000,$                        							112233000000,71,11812000,6,"2272                        						
							km","59623                        						
							km","4437000                        						
							bbl","918000                        						
							bbl","145019000000                        						
							bbl","9860000000                        						
							Cu.M","19298000000                        						
							Cu.M","3729000000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","438317                        						
							km","58                        						
							km","3809                        						
							km","5279                        						
							km",Kabul,"4,435,000",43
Afghanistan,40121552,15647405,8826741,842553,0,0,80000,9,0,0,3,0,0,0,6,1,0,5202,0,0,0,0,,0,0,0,0,0,0,0,0,$                        							290000000,$                        							1142500000,$                        							54772700000,$                        							8852092000,67,8921000,0,"0                        						
							km","34903                        						
							km","0                        						
							bbl","2700                        						
							bbl","0                        						
							bbl","80200000                        						
							Cu.M","80200000                        						
							Cu.M","49554000000                        						
							Cu.M","4885000                        						
							Cu.M","1545000                        						
							mt","66000000                        						
							Cu.M","652230                        						
							km","0                        						
							km","5987                        						
							km","1200                        						
							km",Rome,"4,298,000",118
Canada,38794813,16681770,13500595,426743,68000,27000,5500,351,66,0,28,95,33,6,145,0,74,21704,0,0,0,73,119637,0,0,4,0,12,0,24,0,$                        							41000000000,$                        							2337375700000,$                        							2238000000000,$                        							117551000000,1425,22110000,284,"4942                        						
							km","1042300                        						
							km","5692000                        						
							bbl","2454000                        						
							bbl","170300000000                        						
							bbl","187686000000                        						
							Cu.M","130316000000                        						
							Cu.M","2067126000000                        						
							Cu.M","43024000                        						
							Cu.M","17138000                        						
							mt","6582000000                        						
							Cu.M","9984670                        						
							km","202080                        						
							km","8893                        						
							km","636                        						
							km",Yaounde,"4,164,000",28
Poland,38746310,18985692,15576017,464956,202100,350000,50000,479,59,44,49,105,11,0,216,29,614,23138,677,0,196,62,,0,0,1,0,2,2,3,26,$                        							48700000000,$                        							386947000000,$                        							1616000000000,$                        							193783000000,288,18387000,10,"19461                        						
							km","420000                        						
							km","24000                        						
							bbl","722000                        						
							bbl","113000000                        						
							bbl","5551000000                        						
							Cu.M","20056000000                        						
							Cu.M","91492000000                        						
							Cu.M","116682000                        						
							Cu.M","123782000                        						
							mt","28531000000                        						
							Cu.M","312685                        						
							km","440                        						
							km","2845                        						
							km","3997                        						
							km",Kampala,"3,846,000",21
Morocco,37387585,17946041,15254135,635589,195800,150000,50000,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,,0,0,0,0,6,1,105,0,$                        							13400000000,$                        							45645000000,$                        							337480000000,$                        							36328000000,49,12284000,12,"2067                        						
							km","57300                        						
							km","25                        						
							bbl","318000                        						
							bbl","684000                        						
							bbl","82595000                        						
							Cu.M","243201000                        						
							Cu.M","1444000000                        						
							Cu.M","0                        						
							Cu.M","11940000                        						
							mt","96000000                        						
							Cu.M","715550                        						
							km","1835                        						
							km","2363                        						
							km","0                        						
							km",Abuja,"3,840,000",59
Angola,37202061,7440412,3720206,372021,107000,0,10000,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,,0,0,0,0,0,0,29,0,$                        							1101360000,$                        							45774500000,$                        							265868000000,$                        							13942000000,106,15223000,21,"2761                        						
							km","26000                        						
							km","1175000                        						
							bbl","127000                        						
							bbl","7783000000                        						
							bbl","5514000000                        						
							Cu.M","1397000000                        						
							Cu.M","343002000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1246700                        						
							km","1600                        						
							km","5369                        						
							km","1300                        						
							km",Antananarivo,"3,700,000",56
Saudi Arabia,36544431,19003104,17468238,621255,257000,0,150000,917,283,81,49,202,16,22,264,34,840,19040,332,467,321,32,49727,0,0,0,0,7,9,9,3,$                        							74760000000,$                        							225610000000,$                        							1831000000000,$                        							457949000000,86,16934000,16,"5410                        						
							km","221372                        						
							km","11113000                        						
							bbl","3649000                        						
							bbl","258600000000                        						
							bbl","121870000000                        						
							Cu.M","121870000000                        						
							Cu.M","9423000000000                        						
							Cu.M","0                        						
							Cu.M","164000                        						
							mt","0                        						
							Cu.M","2149690                        						
							km","2640                        						
							km","4272                        						
							km","0                        						
							km",Berlin,"3,571,000",24
Uzbekistan,36520593,18990708,15959499,730412,48000,0,20000,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,,0,0,0,0,0,0,0,0,$                        							2803500000,$                        							19652500000,$                        							319174000000,$                        							34558000000,74,14270000,0,"4642                        						
							km","86496                        						
							km","64000                        						
							bbl","91000                        						
							bbl","594000000                        						
							bbl","47500000000                        						
							Cu.M","43227000000                        						
							Cu.M","1841000000000                        						
							Cu.M","5356000                        						
							Cu.M","7396000                        						
							mt","1375000000                        						
							Cu.M","447400                        						
							km","420                        						
							km","6893                        						
							km","1100                        						
							km",Asuncion,"3,511,000",58
Ukraine,35661826,18187531,12731272,392280,900000,1200000,100000,324,70,36,24,73,3,0,136,39,1114,18920,658,615,279,89,28138,0,0,0,0,0,0,33,3,$                        							53700000000,$                        							132000000000,$                        							559981000000,$                        							40510000000,148,20312000,26,"21733                        						
							km","169694                        						
							km","3000                        						
							bbl","248000                        						
							bbl","395000000                        						
							bbl","18725000000                        						
							Cu.M","22856000000                        						
							Cu.M","1104000000000                        						
							Cu.M","4248000                        						
							Cu.M","10953000                        						
							mt","34375000000                        						
							Cu.M","603550                        						
							km","2782                        						
							km","5581                        						
							km","1672                        						
							km",Santo Domingo,"3,458,000",20
Ghana,34589092,14873310,9961658,622604,15500,0,0,19,0,0,2,5,2,0,10,0,0,1824,0,6,6,28,,0,0,0,0,0,0,27,0,$                        							308500000,$                        							22550000000,$                        							229639000000,$                        							3624000000,11,14887000,4,"947                        						
							km","65725                        						
							km","174000                        						
							bbl","110000                        						
							bbl","660000000                        						
							bbl","3192000000                        						
							Cu.M","3912000000                        						
							Cu.M","22653000000                        						
							Cu.M","0                        						
							Cu.M","85000                        						
							mt","0                        						
							Cu.M","238533                        						
							km","539                        						
							km","2420                        						
							km","1293                        						
							km",Dakar,"3,340,000",110
Malaysia,34564810,16245461,13480276,553037,113000,51600,100000,135,26,12,16,31,6,4,45,0,48,13506,0,196,36,100,67735,0,0,2,0,2,6,71,4,$                        							4800000000,$                        							247500000000,$                        							1152000000000,$                        							113438000000,102,17308000,35,"1851                        						
							km","144403                        						
							km","582000                        						
							bbl","717000                        						
							bbl","3600000000                        						
							bbl","75456000000                        						
							Cu.M","42499000000                        						
							Cu.M","1189000000000                        						
							Cu.M","3731000                        						
							Cu.M","35050000                        						
							mt","226000000                        						
							Cu.M","329847                        						
							km","4675                        						
							km","2742                        						
							km","7200                        						
							km",Sanaa,"3,292,000",42
Mozambique,33350954,14674420,7770772,533615,11200,0,3000,22,8,0,4,1,1,0,8,2,30,872,0,52,6,33,,0,0,0,0,0,0,33,0,$                        							412400000,$                        							12100000000,$                        							50631000000,$                        							3515000000,92,15191000,11,"4787                        						
							km","31083                        						
							km","0                        						
							bbl","40000                        						
							bbl","0                        						
							bbl","5388000000                        						
							Cu.M","1347000000                        						
							Cu.M","2832000000000                        						
							Cu.M","9015000                        						
							Cu.M","11000                        						
							mt","1792000000                        						
							Cu.M","799380                        						
							km","2470                        						
							km","4783                        						
							km","460                        						
							km",Kuwait,"3,239,000",89
