Country,Rank,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,capital-cities-by-total-population,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage
Ivory Coast,102,"29,981,758","12,292,521","7,855,221","569,653","22,000",0,"5,500",,19,0,0,4,2,3,0,10,3,5,656,0,2,3,3,,0,0,0,0,0,0,3,0,"$                        							669,600,935","$                        							19,311,500,000","$                        							202,758,000,000","$                        							7,583,484,000",29,"10,954,000",5,"660                        						
							km","81,996                        						
							km","29,000                        						
							bbl","60,000                        						
							bbl","100,000,000                        						
							bbl","2,635,000,000                        						
							Cu.M","2,635,000,000                        						
							Cu.M","28,317,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","322,463                        						
							km","515                        						
							km","3,458                        						
							km","980                        						
							km"
Guatemala,103,"18,255,216","7,484,639","6,279,794","182,552","106,114","90,000","35,000",,36,0,4,10,0,0,0,21,0,5,688,0,50,0,25,,0,0,0,0,0,0,20,0,"$                        							408,635,000","$                        							27,500,000,000","$                        							223,183,000,000","$                        							21,311,000,000",58,"7,258,000",3,"800                        						
							km","17,440                        						
							km","6,000                        						
							bbl","115,000                        						
							bbl","86,110,000                        						
							bbl","3,276,000                        						
							Cu.M","2,986,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1,296,000                        						
							mt","0                        						
							Cu.M","108,889                        						
							km","400                        						
							km","1,667                        						
							km","990                        						
							km"
Mali,104,"21,990,607","6,817,088","4,288,168","351,850","40,000",0,"4,800",,43,9,12,7,4,1,0,10,8,10,570,0,10,20,0,,0,0,0,0,0,0,0,0,"$                        							650,386,000","$                        							4,057,500,000","$                        							57,235,000,000","$                        							647,800,000",30,"8,277,000",0,"593                        						
							km","139,107                        						
							km","0                        						
							bbl","46,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1,240,192                        						
							km","0                        						
							km","7,908                        						
							km","1,800                        						
							km"
Kyrgyzstan,105,"6,172,101","3,147,772","2,487,357","117,270","23,000","300,000","55,000",,7,0,0,0,0,0,0,7,2,215,"2,686",30,169,21,0,,0,0,0,0,0,0,0,0,"$                        							221,800,000","$                        							6,728,500,000","$                        							45,461,000,000","$                        							3,237,000,000",28,"3,069,000",0,"424                        						
							km","34,000                        						
							km","6,000                        						
							bbl","31,000                        						
							bbl","40,000,000                        						
							bbl","31,026,000                        						
							Cu.M","438,000,000                        						
							Cu.M","5,663,000,000                        						
							Cu.M","3,637,000                        						
							Cu.M","3,352,000                        						
							mt","28,499,000,000                        						
							Cu.M","199,951                        						
							km","0                        						
							km","4,573                        						
							km","576                        						
							km"
Laos,106,"7,953,556","3,499,565","2,521,277","159,071","100,000","30,000","120,000",,33,0,0,2,8,0,0,23,0,160,"4,380",40,87,64,36,,0,0,0,0,0,0,36,0,"$                        							135,000,000","$                        							16,500,000,000","$                        							64,173,000,000","$                        							1,770,000,000",18,"3,174,000",0,"422                        						
							km","39,568                        						
							km","0                        						
							bbl","24,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","14,845,000                        						
							Cu.M","13,691,000                        						
							mt","62,000,000                        						
							Cu.M","236,800                        						
							km","0                        						
							km","5,274                        						
							km","4,600                        						
							km"
Estonia,107,"1,193,791","584,958","456,028","13,132","7,700","78,800","10,000",,5,0,0,2,3,0,0,3,0,0,"1,685",36,0,0,8,,0,0,0,0,0,0,4,4,"$                        							1,463,360,000","$                        							26,400,000,000","$                        							57,377,000,000","$                        							2,593,000,000",26,"752,000",20,"1,441                        						
							km","58,412                        						
							km","24,000                        						
							bbl","28,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","354,912,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","3,000                        						
							mt","0                        						
							Cu.M","45,228                        						
							km","3,794                        						
							km","657                        						
							km","335                        						
							km"
Tajikistan,108,"10,394,063","4,781,269","3,773,045","176,699","9,500","600,000","20,000",,25,0,0,1,4,0,0,20,6,38,"1,240",3,13,20,0,,0,0,0,0,0,0,0,0,"$                        							446,000,000","$                        							7,150,000,000","$                        							46,467,000,000","$                        							2,748,900,000",19,"2,677,000",0,"680                        						
							km","30,000                        						
							km","300                        						
							bbl","28,000                        						
							bbl","12,000,000                        						
							bbl","18,476,000                        						
							Cu.M","85,567,000                        						
							Cu.M","5,663,000,000                        						
							Cu.M","2,175,000                        						
							Cu.M","2,245,000                        						
							mt","4,075,000,000                        						
							Cu.M","144,100                        						
							km","0                        						
							km","4,130                        						
							km","200                        						
							km"
Zambia,109,"20,799,116","7,279,691","4,139,024","374,384","15,150",0,"1,200",,77,0,0,13,34,0,0,32,0,35,424,12,30,25,0,,0,0,0,0,0,0,0,0,"$                        							394,240,000","$                        							13,200,000,000","$                        							76,493,000,000","$                        							2,861,000,000",119,"7,051,000",0,"3,126                        						
							km","67,671                        						
							km","0                        						
							bbl","34,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","831,000                        						
							Cu.M","823,000                        						
							mt","944,999,000                        						
							Cu.M","752,618                        						
							km","0                        						
							km","6,043                        						
							km","0                        						
							km"
Ghana,110,"34,589,092","14,873,310","9,961,658","622,604","15,500",0,0,,19,0,0,2,5,2,0,10,0,0,"1,824",0,6,6,28,,0,0,0,0,0,0,27,0,"$                        							308,500,000","$                        							22,550,000,000","$                        							229,639,000,000","$                        							3,624,000,000",11,"14,887,000",4,"947                        						
							km","65,725                        						
							km","174,000                        						
							bbl","110,000                        						
							bbl","660,000,000                        						
							bbl","3,192,000,000                        						
							Cu.M","3,912,000,000                        						
							Cu.M","22,653,000,000                        						
							Cu.M","0                        						
							Cu.M","85,000                        						
							mt","0                        						
							Cu.M","238,533                        						
							km","539                        						
							km","2,420                        						
							km","1,293                        						
							km"
Zimbabwe,111,"17,150,352","6,517,134","3,721,626","360,157","29,000",0,"21,800",,95,13,0,14,40,0,0,28,6,15,828,0,0,0,0,,0,0,0,0,0,0,0,0,"$                        							530,800,000","$                        							11,000,000,000","$                        							58,583,000,000","$                        							115,530,000",144,"6,561,000",0,"3,427                        						
							km","97,267                        						
							km","800                        						
							bbl","29,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","3,877,000                        						
							Cu.M","4,479,000                        						
							mt","502,000,000                        						
							Cu.M","390,757                        						
							km","0                        						
							km","3,229                        						
							km","0                        						
							km"
North Macedonia,112,"2,135,622","948,216","783,773","27,763","9,000","60,000","3,500",,20,0,0,0,10,0,0,10,4,20,"1,108",0,150,17,0,,0,0,0,0,0,0,0,0,"$                        							388,421,700","$                        							11,000,000,000","$                        							42,444,000,000","$                        							5,015,000,000",13,"801,000",0,"699                        						
							km","14,182                        						
							km","0                        						
							bbl","22,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","274,928,000                        						
							Cu.M","0                        						
							Cu.M","5,075,000                        						
							Cu.M","5,776,000                        						
							mt","332,000,000                        						
							Cu.M","25,713                        						
							km","0                        						
							km","838                        						
							km","0                        						
							km"
South Sudan,113,"12,703,714","6,351,857","4,065,188","330,297","185,000",0,0,,20,0,0,5,0,0,0,15,6,30,"1,950",24,0,15,0,,0,0,0,0,0,0,0,0,"$                        							175,300,000","$                        							2,475,000,000","$                        							20,010,000,000","$                        							183,615,000",82,"4,471,000",0,"248                        						
							km","90,200                        						
							km","146,000                        						
							bbl","14,000                        						
							bbl","3,750,000,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","644,329                        						
							km","0                        						
							km","6,018                        						
							km","0                        						
							km"
Uganda,114,"49,283,041","16,756,234","9,905,891","985,661","45,000",0,"10,000",,51,6,0,0,12,0,0,30,6,259,"3,862",6,26,12,0,,0,0,0,0,0,0,0,0,"$                        							985,400,000","$                        							11,818,000,000","$                        							135,668,000,000","$                        							3,506,500,000",39,"18,881,000",0,"1,244                        						
							km","20,544                        						
							km","0                        						
							bbl","43,000                        						
							bbl","2,500,000,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","14,158,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","800,000,000                        						
							Cu.M","241,038                        						
							km","0                        						
							km","2,729                        						
							km","0                        						
							km"
Lebanon,115,"5,364,482","2,092,148","1,775,644","69,738","60,000","35,000","65,000",,80,0,9,0,9,0,0,68,0,116,"4,538",12,353,11,64,,0,0,0,0,0,0,61,0,"$                        							768,250,325","$                        							36,928,000,000","$                        							65,818,000,000","$                        							26,498,095,000",8,"1,771,000",5,"401                        						
							km","21,705                        						
							km","0                        						
							bbl","174,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","207,000                        						
							mt","0                        						
							Cu.M","10,400                        						
							km","225                        						
							km","484                        						
							km","0                        						
							km"
Namibia,116,"2,803,660","616,805","400,923","30,840","13,000",0,"5,000",,34,11,0,3,14,0,0,7,2,4,"2,094",0,25,25,15,,0,0,0,0,0,2,12,0,"$                        							370,500,000","$                        							8,800,000,000","$                        							29,944,000,000","$                        							2,956,000,000",255,"989,000",2,"2,628                        						
							km","48,875                        						
							km","0                        						
							bbl","25,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","62,297,000,000                        						
							Cu.M","0                        						
							Cu.M","32,000                        						
							mt","350,000,000                        						
							Cu.M","824,292                        						
							km","1,572                        						
							km","4,220                        						
							km","0                        						
							km"
Luxembourg,117,"671,254","154,388","92,633","3,356","1,000",0,0,"120,000",1,0,0,1,0,0,0,0,0,0,182,0,0,0,0,,0,0,0,0,0,0,0,0,"$                        							726,092,925","$                        							4,730,000,000,000","$                        							88,533,000,000","$                        							2,977,000,000",3,"352,000",0,"271                        						
							km","2,875                        						
							km","0                        						
							bbl","51,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","594,240,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","62,000                        						
							mt","0                        						
							Cu.M","2,586                        						
							km","0                        						
							km","327                        						
							km","37                        						
							km"
Afghanistan,118,"40,121,552","15,647,405","8,826,741","842,553",0,0,"80,000",,9,0,0,3,0,0,0,6,1,0,"5,202",0,0,0,0,,0,0,0,0,0,0,0,0,"$                        							290,000,000","$                        							1,142,500,000","$                        							54,772,700,000","$                        							8,852,092,000",67,"8,921,000",0,"0                        						
							km","34,903                        						
							km","0                        						
							bbl","2,700                        						
							bbl","0                        						
							bbl","80,200,000                        						
							Cu.M","80,200,000                        						
							Cu.M","49,554,000,000                        						
							Cu.M","4,885,000                        						
							Cu.M","1,545,000                        						
							mt","66,000,000                        						
							Cu.M","652,230                        						
							km","0                        						
							km","5,987                        						
							km","1,200                        						
							km"
Niger,119,"26,342,784","7,902,835","5,294,900","447,827","25,000",0,"5,000",,26,0,2,7,0,2,0,13,1,0,456,0,0,0,0,,0,0,0,0,0,0,0,0,"$                        							336,400,000","$                        							3,844,000,000","$                        							44,561,000,000","$                        							1,442,772,000",26,"10,237,000",0,"0                        						
							km","18,949                        						
							km","6,000                        						
							bbl","13,000                        						
							bbl","150,000,000                        						
							bbl","29,509,000                        						
							Cu.M","29,858,000                        						
							Cu.M","0                        						
							Cu.M","457,000                        						
							Cu.M","457,000                        						
							mt","90,000,000                        						
							Cu.M","1,267,000                        						
							km","0                        						
							km","5,834                        						
							km","300                        						
							km"
Eritrea,120,"6,343,956","2,220,385","1,598,677","76,127","120,000","130,000",0,,20,1,0,5,1,0,0,13,6,65,860,23,75,22,23,,0,0,0,0,0,0,18,0,"$                        							198,000,000","$                        							635,504,500","$                        							9,702,000,000","$                        							225,014,976",10,"1,800,000",2,"306                        						
							km","16,000                        						
							km","0                        						
							bbl","4,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","117,600                        						
							km","2,234                        						
							km","1,840                        						
							km","0                        						
							km"
Republic of the Congo,121,"6,097,665","2,256,136","1,353,682","115,856","8,500",0,"2,500",,13,2,0,4,0,0,0,7,1,30,644,2,38,30,4,,0,0,0,0,0,0,0,0,"$                        							306,400,000","$                        							5,741,000,000","$                        							38,163,000,000","$                        							715,391,000",56,"2,461,000",5,"510                        						
							km","23,324                        						
							km","267,000                        						
							bbl","12,000                        						
							bbl","2,885,000,000                        						
							bbl","423,000,000                        						
							Cu.M","423,000,000                        						
							Cu.M","283,990,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","342,000                        						
							km","169                        						
							km","5,008                        						
							km","1,120                        						
							km"
Botswana,122,"2,450,668","1,029,281","617,568","24,507","21,000",0,0,,45,11,0,9,9,0,0,16,0,45,"1,224",12,36,20,0,,0,0,0,0,0,0,0,0,"$                        							465,600,000","$                        							1,853,500,000","$                        							46,742,000,000","$                        							4,756,000,000",122,"1,170,000",0,"888                        						
							km","31,747                        						
							km","0                        						
							bbl","21,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","2,634,000                        						
							Cu.M","2,291,000                        						
							mt","1,660,000,000                        						
							Cu.M","581,730                        						
							km","0                        						
							km","4,347                        						
							km","0                        						
							km"
Mauritania,123,"4,328,040","1,687,936","1,181,555","82,233","31,540","66,000","5,000",,24,0,4,7,7,2,0,4,0,25,628,0,75,0,6,,0,0,0,0,0,0,6,0,"$                        							261,250,000","$                        							3,661,000,000","$                        							30,395,000,000","$                        							2,629,290,500",25,"1,179,000",2,"728                        						
							km","12,253                        						
							km","0                        						
							bbl","29,000                        						
							bbl","20,000,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","28,317,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1,030,700                        						
							km","754                        						
							km","5,002                        						
							km","1,086                        						
							km"
Dominican Republic,124,"10,815,857","4,975,294","4,034,315","97,343","50,000",0,"30,000",,79,0,8,11,17,1,0,50,0,5,540,0,11,0,34,,0,0,0,0,0,0,14,0,"$                        							810,800,000","$                        							27,500,000,000","$                        							261,616,000,000","$                        							15,547,000,000",32,"5,302,000",17,"496                        						
							km","19,705                        						
							km","0                        						
							bbl","134,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","2,440,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","2,188,000                        						
							mt","0                        						
							Cu.M","48,320                        						
							km","1,288                        						
							km","376                        						
							km","0                        						
							km"
Senegal,125,"18,847,519","7,162,057","4,089,912","395,798","17,000",0,0,,40,0,0,5,23,1,0,20,5,0,"1,740",0,20,6,4,,0,0,0,0,0,0,4,0,"$                        							465,150,000","$                        							11,326,000,000","$                        							77,382,000,000","$                        							889,295,000",19,"5,257,000",6,"906                        						
							km","16,665                        						
							km","9,000                        						
							bbl","55,000                        						
							bbl","0                        						
							bbl","54,646,000                        						
							Cu.M","54,498,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","502,000                        						
							mt","0                        						
							Cu.M","196,722                        						
							km","531                        						
							km","2,684                        						
							km","1,000                        						
							km"
Nepal,126,"31,122,387","15,249,970","11,733,140","778,060","95,000",0,"15,000",,15,0,0,5,0,0,0,10,0,0,"1,108",0,14,0,0,,0,0,0,0,0,0,0,0,"$                        							409,100,000","$                        							5,838,500,000","$                        							144,310,000,000","$                        							12,456,000,000",51,"8,937,000",0,"59                        						
							km","27,990                        						
							km","0                        						
							bbl","62,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","15,000                        						
							Cu.M","1,095,000                        						
							mt","8,000,000                        						
							Cu.M","147,181                        						
							km","0                        						
							km","3,159                        						
							km","0                        						
							km"
Montenegro,127,"599,849","143,964","85,179","3,599","2,350",0,"5,500",,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,,0,0,0,0,0,0,2,0,"$                        							148,100,000","$                        							2,958,500,000","$                        							17,115,000,000","$                        							1,574,000,000",5,"286,000",4,"250                        						
							km","7,762                        						
							km","0                        						
							bbl","8,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1,734,000                        						
							Cu.M","1,517,000                        						
							mt","337,000,000                        						
							Cu.M","13,812                        						
							km","294                        						
							km","680                        						
							km","0                        						
							km"
El Salvador,128,"6,628,702","3,181,777","2,512,278","145,831","25,000","10,000","15,000",,52,0,15,4,10,0,0,30,0,0,"1,844",0,76,0,14,,0,0,0,0,0,0,10,0,"$                        							334,620,000","$                        							14,258,000,000","$                        							71,957,000,000","$                        							3,799,434,000",27,"2,870,000",3,"13                        						
							km","9,012                        						
							km","3                        						
							bbl","58,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","226,472                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","500                        						
							mt","0                        						
							Cu.M","21,041                        						
							km","307                        						
							km","590                        						
							km","422                        						
							km"
Burkina Faso,129,"23,042,199","8,525,614","6,060,098","368,675","12,000",0,"4,500",,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,,0,0,0,0,0,0,0,0,"$                        							81,280,000","$                        							3,145,000,000","$                        							57,152,000,000","$                        							47,138,000",49,"8,577,000",0,"622                        						
							km","15,304                        						
							km","0                        						
							bbl","36,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","274,200                        						
							km","0                        						
							km","3,611                        						
							km","0                        						
							km"
Madagascar,130,"29,452,714","11,192,031","7,952,233","559,602","13,500",0,"8,100",,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,,0,0,0,0,0,0,4,0,"$                        							112,210,000","$                        							3,028,500,000","$                        							51,255,000,000","$                        							2,632,000,000",91,"15,830,000",13,"836                        						
							km","31,640                        						
							km","0                        						
							bbl","19,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","511,000                        						
							mt","150,000,000                        						
							Cu.M","587,040                        						
							km","4,828                        						
							km","0                        						
							km","600                        						
							km"
Nicaragua,131,"6,676,948","3,271,705","2,777,610","146,893","45,000",0,"5,500",,17,0,0,5,1,0,0,11,0,89,"1,869",0,0,0,23,,0,0,0,0,0,0,23,0,"$                        							92,000,000","$                        							9,053,000,000","$                        							51,088,000,000","$                        							5,447,000,000",39,"3,264,000",5,"0                        						
							km","23,897                        						
							km","200                        						
							bbl","36,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","130,370                        						
							km","910                        						
							km","1,253                        						
							km","2,220                        						
							km"
Bosnia and Herzegovina,132,"3,798,671","2,355,176","1,956,316","49,383","12,770","6,000",0,,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,,0,0,0,0,0,0,0,0,"$                        							216,400,000","$                        							7,760,500,000","$                        							63,769,000,000","$                        							9,205,000,000",13,"1,369,000",1,"965                        						
							km","22,926                        						
							km","0                        						
							bbl","36,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","225,824,000                        						
							Cu.M","0                        						
							Cu.M","14,114,000                        						
							Cu.M","14,766,000                        						
							mt","2,264,000,000                        						
							Cu.M","51,197                        						
							km","20                        						
							km","1,543                        						
							km","990                        						
							km"
Gabon,133,"2,455,105","932,940","532,758","46,647","4,800",0,"2,500",,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,,0,0,0,0,0,0,4,0,"$                        							274,820,000","$                        							6,280,000,000","$                        							48,201,000,000","$                        							1,568,196,000",40,"763,000",9,"649                        						
							km","14,300                        						
							km","204,000                        						
							bbl","16,000                        						
							bbl","2,000,000,000                        						
							bbl","463,000,000                        						
							Cu.M","463,000,000                        						
							Cu.M","25,995,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","267,667                        						
							km","885                        						
							km","3,261                        						
							km","1,600                        						
							km"
Moldova,134,"3,599,528","2,159,717","1,792,565","71,991","8,500","67,000","2,000",,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,,0,0,0,0,0,0,0,0,"$                        							1,710,000,000","$                        							4,565,500,000","$                        							38,969,000,000","$                        							5,453,000,000",11,"1,464,000",0,"1,171                        						
							km","9,352                        						
							km","0                        						
							bbl","22,000                        						
							bbl","0                        						
							bbl","10,000                        						
							Cu.M","2,344,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","120,000                        						
							mt","0                        						
							Cu.M","33,851                        						
							km","0                        						
							km","1,885                        						
							km","558                        						
							km"
Iceland,135,"364,036","83,728","50,237","1,820",0,0,0,,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,,0,0,0,0,0,0,0,0,"$                        							312,400,000","$                        							22,000,000,000","$                        							26,155,000,000","$                        							5,809,000,000",83,"239,000",43,"0                        						
							km","12,898                        						
							km","0                        						
							bbl","18,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","188,000                        						
							mt","0                        						
							Cu.M","100,250                        						
							km","4,970                        						
							km","0                        						
							km","0                        						
							km"
Panama,136,"4,470,241","2,011,608","1,206,965","53,643",0,0,"80,000",,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,,0,0,0,0,0,0,27,0,"$                        							917,202,000","$                        							1,115,532,300,000","$                        							159,867,000,000","$                        							6,757,000,000",76,"2,096,000",12,"77                        						
							km","11,978                        						
							km","0                        						
							bbl","146,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","389,611,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","837,000                        						
							mt","0                        						
							Cu.M","75,420                        						
							km","2,490                        						
							km","687                        						
							km","800                        						
							km"
Beliz,137,"415,789","158,000","90,226","8,732","1,650",850,0,,3,0,0,1,0,1,0,1,0,0,130,0,0,0,8,,0,0,0,0,0,0,8,0,"$                        							29,538,000","$                        							1,248,000,000","$                        							5,257,000,000","$                        							473,729,000",27,"190,000",2,"0                        						
							km","3,281                        						
							km","800                        						
							bbl","5,000                        						
							bbl","6,700,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","22,966                        						
							km","386                        						
							km","542                        						
							km","825                        						
							km"
Liberia,138,"5,437,249","2,392,390","1,913,912","65,247","1,500",0,"5,500",,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4,,0,0,0,0,0,0,4,0,"$                        							364,800,000","$                        							830,923,000","$                        							8,884,000,000","$                        							599,660,000",99,"2,499,000",4,"429                        						
							km","10,600                        						
							km","0                        						
							bbl","4,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","111,369                        						
							km","579                        						
							km","1,667                        						
							km","0                        						
							km"
Suriname,139,"646,758","142,287","84,079","3,234","2,000",0,200,,3,0,0,0,0,0,0,3,0,0,650,0,0,0,17,,0,0,0,0,0,0,17,0,"$                        							144,000,000","$                        							2,200,000,000","$                        							11,824,000,000","$                        							1,346,000,000",55,"250,000",4,"0                        						
							km","4,304                        						
							km","14,000                        						
							bbl","15,000                        						
							bbl","89,000,000                        						
							bbl","7,109,000                        						
							Cu.M","6,967,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","163,820                        						
							km","386                        						
							km","1,907                        						
							km","1,200                        						
							km"
Sierra Leone,140,"9,121,049","2,006,631","1,203,978","45,605","13,000",0,0,,1,0,0,0,0,0,0,1,0,0,150,0,0,0,7,,0,0,0,0,0,0,7,0,"$                        							228,600,000","$                        							2,687,000,000","$                        							14,633,000,000","$                        							495,699,000",8,"2,913,000",3,"0                        						
							km","11,701                        						
							km","0                        						
							bbl","9,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","71,740                        						
							km","402                        						
							km","1,093                        						
							km","800                        						
							km"
Kosovo,141,"1,977,093","917,371","743,387","17,794","10,000","5,000",500,,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,,0,0,0,0,0,0,0,0,"$                        							260,715,150","$                        							2,750,000,000","$                        							23,794,000,000","$                        							1,245,000,000",4,"500,300",0,"437                        						
							km","2,012                        						
							km","0                        						
							bbl","15,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","9,074,000                        						
							Cu.M","8,927,000                        						
							mt","1,564,000,000                        						
							Cu.M","10,887                        						
							km","0                        						
							km","714                        						
							km","0                        						
							km"
Somalia,142,"13,017,273","2,993,973","1,796,384","130,173","15,000",0,"2,000",,0,0,0,0,0,0,0,0,0,0,682,0,0,0,10,,0,0,0,0,0,0,10,0,"$                        							171,002,350","$                        							5,830,000,000","$                        							26,351,000,000","$                        							16,747,500",38,"3,277,000",6,"0                        						
							km","15,000                        						
							km","0                        						
							bbl","6,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","5,663,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","637,657                        						
							km","3,025                        						
							km","2,385                        						
							km","0                        						
							km"
Central African Republic,143,"5,650,957","2,203,873","1,254,512","101,717","10,000",0,"1,000",,6,0,6,0,0,0,0,0,0,0,228,0,0,0,0,,0,0,0,0,0,0,0,0,"$                        							45,990,000","$                        							666,293,000","$                        							5,849,000,000","$                        							374,405,000",43,"2,114,000",0,"0                        						
							km","24,000                        						
							km","0                        						
							bbl","2,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","3,000,000                        						
							Cu.M","622,984                        						
							km","0                        						
							km","5,920                        						
							km","2,800                        						
							km"
