Country,Rank,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,capital-cities-by-total-population,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage
Ethiopia,52,"118,550,298","56,904,143","35,327,989","2,726,657","162,000",0,0,,103,25,0,8,34,0,0,33,7,338,"7,256",35,309,40,0,,0,0,0,0,0,0,0,0,"$                        							2,097,575,000","$                        							25,761,000,000","$                        							354,604,000,000","$                        							3,131,288,000",57,"61,664,000",0,"659                        						
							km","120,171                        						
							km","0                        						
							bbl","110,000                        						
							bbl","428,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","24,919,000,000                        						
							Cu.M","8,000                        						
							Cu.M","660,000                        						
							mt","0                        						
							Cu.M","1,104,300                        						
							km","0                        						
							km","5,925                        						
							km","0                        						
							km"
Czechia,53,"10,837,890","5,093,808","4,129,236","97,541","28,000","4,200",0,,99,12,16,10,17,2,0,42,4,43,"6,340",50,0,16,0,,0,0,0,0,0,0,0,0,"$                        							6,750,000,000","$                        							211,200,000,000","$                        							519,007,000,000","$                        							148,379,000,000",243,"5,502,000",0,"9,548                        						
							km","55,744                        						
							km","4,000                        						
							bbl","211,000                        						
							bbl","15,000,000                        						
							bbl","224,725,000                        						
							Cu.M","7,602,000,000                        						
							Cu.M","3,964,000,000                        						
							Cu.M","37,423,000                        						
							Cu.M","40,239,000                        						
							mt","3,595,000,000                        						
							Cu.M","78,867                        						
							km","0                        						
							km","2,046                        						
							km","664                        						
							km"
United Arab Emirates,54,"10,032,213","5,818,684","4,945,881","80,258","65,000","130,000","12,000",,551,99,16,37,147,27,4,247,30,354,"8,707",165,99,49,181,"44,188",0,0,0,0,0,11,34,2,"$                        							2,212,360,382","$                        							264,000,000,000","$                        							719,733,000,000","$                        							189,491,000,000",42,"6,668,000",20,"0                        						
							km","4,080                        						
							km","4,146,000                        						
							bbl","939,000                        						
							bbl","97,800,000,000                        						
							bbl","56,683,000,000                        						
							Cu.M","66,091,000,000                        						
							Cu.M","6,091,000,000                        						
							Cu.M","0                        						
							Cu.M","3,273,000                        						
							mt","0                        						
							Cu.M","83,600                        						
							km","1,318                        						
							km","1,066                        						
							km","0                        						
							km"
Hungary,55,"9,855,745","4,632,200","3,794,462","118,269","41,600","20,000","15,000",,69,12,0,3,12,0,0,44,8,209,"7,797",24,295,0,0,,0,0,0,0,0,0,0,0,"$                        							4,576,000,000","$                        							137,500,000,000","$                        							388,906,000,000","$                        							45,719,000,000",109,"5,006,000",0,"7,687                        						
							km","203,601                        						
							km","36,000                        						
							bbl","175,000                        						
							bbl","12,100,000                        						
							bbl","1,523,000,000                        						
							Cu.M","9,485,000,000                        						
							Cu.M","3,738,000,000                        						
							Cu.M","5,450,000                        						
							Cu.M","6,180,000                        						
							mt","2,909,000,000                        						
							Cu.M","103,000                        						
							km","0                        						
							km","2,106                        						
							km","1,622                        						
							km"
Angola,56,"37,202,061","7,440,412","3,720,206","372,021","107,000",0,"10,000",,298,71,12,31,66,2,0,116,15,309,"5,500",25,575,113,31,,0,0,0,0,0,0,29,0,"$                        							1,101,360,000","$                        							45,774,500,000","$                        							265,868,000,000","$                        							13,942,000,000",106,"15,223,000",21,"2,761                        						
							km","26,000                        						
							km","1,175,000                        						
							bbl","127,000                        						
							bbl","7,783,000,000                        						
							bbl","5,514,000,000                        						
							Cu.M","1,397,000,000                        						
							Cu.M","343,002,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1,246,700                        						
							km","1,600                        						
							km","5,369                        						
							km","1,300                        						
							km"
Kazakhstan,57,"20,260,006","9,117,003","6,928,922","283,640","110,000","135,000","55,000",,198,63,25,19,26,0,0,65,12,350,"7,736",126,194,287,26,,0,0,0,0,0,0,23,2,"$                        							2,048,700,000","$                        							91,321,500,000","$                        							705,520,000,000","$                        							35,965,000,000",132,"9,587,000",0,"16,636                        						
							km","96,167                        						
							km","1,955,000                        						
							bbl","288,000                        						
							bbl","30,000,000,000                        						
							bbl","27,011,000,000                        						
							Cu.M","22,623,000,000                        						
							Cu.M","2,407,000,000,000                        						
							Cu.M","118,195,000                        						
							Cu.M","84,852,000                        						
							mt","25,605,000,000                        						
							Cu.M","2,724,900                        						
							km","26                        						
							km","13,364                        						
							km","43,983                        						
							km"
Uzbekistan,58,"36,520,593","18,990,708","15,959,499","730,412","48,000",0,"20,000",,192,58,13,13,7,0,0,101,34,340,"2,970",147,236,108,0,,0,0,0,0,0,0,0,0,"$                        							2,803,500,000","$                        							19,652,500,000","$                        							319,174,000,000","$                        							34,558,000,000",74,"14,270,000",0,"4,642                        						
							km","86,496                        						
							km","64,000                        						
							bbl","91,000                        						
							bbl","594,000,000                        						
							bbl","47,500,000,000                        						
							Cu.M","43,227,000,000                        						
							Cu.M","1,841,000,000,000                        						
							Cu.M","5,356,000                        						
							Cu.M","7,396,000                        						
							mt","1,375,000,000                        						
							Cu.M","447,400                        						
							km","420                        						
							km","6,893                        						
							km","1,100                        						
							km"
Morocco,59,"37,387,585","17,946,041","15,254,135","635,589","195,800","150,000","50,000",,260,83,0,31,75,4,2,78,0,903,"7,877",396,153,129,111,,0,0,0,0,6,1,105,0,"$                        							13,400,000,000","$                        							45,645,000,000","$                        							337,480,000,000","$                        							36,328,000,000",49,"12,284,000",12,"2,067                        						
							km","57,300                        						
							km","25                        						
							bbl","318,000                        						
							bbl","684,000                        						
							bbl","82,595,000                        						
							Cu.M","243,201,000                        						
							Cu.M","1,444,000,000                        						
							Cu.M","0                        						
							Cu.M","11,940,000                        						
							mt","96,000,000                        						
							Cu.M","715,550                        						
							km","1,835                        						
							km","2,363                        						
							km","0                        						
							km"
Azerbaijan,60,"10,650,239","5,218,617","3,908,638","159,754","126,400","300,000","15,000",,154,12,18,3,35,0,0,86,16,497,"7,642",198,650,268,38,,0,0,4,0,0,0,17,4,"$                        							5,000,000,000","$                        							16,159,500,000","$                        							215,896,000,000","$                        							13,749,000,000",32,"5,473,000",0,"2,944                        						
							km","24,981                        						
							km","618,000                        						
							bbl","105,000                        						
							bbl","7,000,000,000                        						
							bbl","34,175,000,000                        						
							Cu.M","11,759,000,000                        						
							Cu.M","1,699,000,000,000                        						
							Cu.M","0                        						
							Cu.M","60,000                        						
							mt","0                        						
							Cu.M","86,600                        						
							km","713                        						
							km","2,468                        						
							km","0                        						
							km"
Belgium,61,"11,977,634","4,910,830","3,880,753","119,776","25,000","6,400",0,,108,43,0,7,38,0,0,20,0,0,"4,606",0,0,0,9,"10,190",0,0,0,0,2,0,2,5,"$                        							10,200,000,000","$                        							1,449,264,300,000","$                        							751,592,000,000","$                        							40,813,000,000",49,"5,432,000",7,"3,602                        						
							km","118,414                        						
							km","11,000                        						
							bbl","585,000                        						
							bbl","0                        						
							bbl","13,436,000                        						
							Cu.M","15,347,000,000                        						
							Cu.M","0                        						
							Cu.M","1,270,000                        						
							Cu.M","4,869,000                        						
							mt","4,100,000,000                        						
							Cu.M","30,528                        						
							km","67                        						
							km","1,297                        						
							km","2,043                        						
							km"
