,country,population,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_personnel,reserve_personnel,manpower_paramilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,helicopters,aircraft_helicopters_attack,tanks,armored_vehicles,armor_self_propelled_guns_total,artillery_units,armor_mlrs_total,navy_ships,navy_force_by_tonnage,aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_budget_usd,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,land_area_sq_km,coastline_km,border_coverage,waterway_coverage,capital_city,captal population,power_index_rank,year,alliance,continent,region,gdp_usd,power_index_rank_gap,naval_assets,total_military_assets,assets_per_capita,budget_to_gdp_ratio,budget_to_gdp_percent
22,Tanzania,67462121,12143182,6678750,607159,27000,80000,6500,39,14,0,6,7,0,0,12,0,62,1072,0,0,0,12,0,0,0,0,0,0,0,10,0,1406745334,18983500000,234050000000,5693050000,206,31219000,8,4097,145203,0,58000,0,1808000000,1808000000,6513000000,2511000,802000,1410000000,947300,1424,4161,0,Baghdad,7512000,92,2025,Non-NATO,,,79030935627.0781,91,22,1173,1173.0000003261089,0.0177999326825382,1.77999326825382
23,Italy,60964931,27434219,22191235,548684,165500,18500,105000,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,359417,2,0,8,3,10,0,19,10,30890000000,2750000000000,3097000000000,247396000000,636,25669000,123,18475,487700,116000,1246000,497934000,3117000000,68735000000,45750000000,1618000,13127000,609999000,301340,7600,1836,2400,Santiago,6857000,10,2025,NATO,Europe,Western Europe,2417508414187.19,9,248,74517,74517.00000406792,0.012777618401955295,1.2777618401955295
24,South Africa,60442647,27803618,14989776,1027525,71235,29350,50000,182,2,0,12,81,0,0,87,10,252,18692,49,134,101,49,40186,0,0,3,0,4,0,33,2,2266800000,58773000000,862981000000,62492000000,575,25158000,8,20986,750000,95000,601000,15000000,59128000,4487000000,0,245467000,176148000,9893000000,1219090,2798,5244,0,Madrid,6751000,40,2025,Non-NATO,Africa,Sub-Saharan Africa,458199494830.834,39,91,19260,19260.00000150556,0.0049471900898469924,0.4947190089846992
25,Kenya,58246378,21551160,14037377,931942,50000,0,25000,156,17,0,21,31,2,0,85,2,188,4128,18,53,0,23,0,0,0,0,0,0,0,7,0,1307383850,30514500000,314063000000,7342000000,370,25502000,4,3819,161452,0,119000,0,0,0,0,0,1168000,0,580367,536,3457,0,Khartoum,6344000,83,2025,Non-NATO,Africa,Sub-Saharan Africa,120339557905.932,82,30,4525,4525.000000515053,0.010864123757392945,1.0864123757392945
26,Myanmar,57527139,30489384,21975367,1035489,150000,20000,55000,317,58,26,30,119,5,0,83,9,445,5980,95,210,180,232,89240,0,0,3,0,6,3,146,2,2948000000,7253400000,290507000000,8590400000,73,22884000,7,5031,157000,7000,148000,139000000,16780000000,3788000000,637129000000,1268000,1453000,252000000,676578,1930,6522,12800,Singapore,6081000,37,2025,Non-NATO,,,79006113670.2831,36,392,6952,6952.000006814175,0.03731356806516157,3.731356806516157
27,South Korea,52081799,26040900,21353538,416654,600000,3100000,120000,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,344786,0,2,22,13,17,5,35,14,46300000000,503519500000,2615000000000,420930000000,89,29611000,15,3979,100428,38000,2452000,0,55127000,59480000000,7079000000,15595000,136413000,326000000,99720,2413,237,1600,Rangoon,5610000,5,2025,Non-NATO,Asia,East Asia,1875388000000.0,4,335,67108,67108.0000064322,0.024688224516740003,2.4688224516740003
28,Sudan,50467278,26747657,17108407,1312149,92000,85000,17500,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,0,0,0,0,0,0,0,6,0,342000000,37846000000,136039000000,206763700,41,13590000,4,7251,31000,68000,127000,1250000000,0,0,84951000000,0,0,0,1861484,853,6819,4068,Washington D.C.,5434000,73,2025,Non-NATO,Africa,,64833083257.1431,72,12,3576,3576.000000237778,0.0052750846144945535,0.5275084614494554
29,Colombia,49588357,24298295,19190694,843002,293200,35000,150000,436,16,24,86,72,23,1,257,0,0,3460,6,110,0,233,31090,0,0,4,0,7,2,217,0,10541500000,116779500000,978024000000,59041000000,662,26003000,14,2141,205379,800000,320000,2036000000,11290000000,11451000000,87782000000,58747000,7880000,4554000000,1138910,3208,6672,24725,Ankara,5397000,46,2025,Non-NATO,South America,South America,418818154879.271,45,463,4006,4006.000009336869,0.025169634785862385,2.5169634785862387
30,Uganda,49283041,16756234,9905891,985661,45000,0,10000,51,6,0,0,12,0,0,30,6,259,3862,6,26,12,0,0,0,0,0,0,0,0,0,0,985400000,11818000000,135668000000,3506500000,39,18881000,0,1244,20544,0,43000,2500000000,0,0,14158000000,0,0,800000000,241038,0,2729,0,Hanoi,5253000,114,2025,Non-NATO,Africa,,53911907086.1525,113,0,4198,4198.0,0.018277965912526662,1.8277965912526661
31,Spain,47280433,21748999,17635602,330963,133282,15150,78470,461,137,12,51,140,8,0,153,17,317,17626,95,287,0,152,215346,1,0,2,0,11,0,22,6,23397000000,2572738300000,2242000000000,103089000000,363,24108000,52,15489,683175,47000,1269000,150000000,41009000,32833000000,2549000000,1293000,8255000,1187000000,505370,4964,1953,1000,Addis Ababa,5228000,17,2025,NATO,Europe,Western Europe,1725671652742.19,16,194,18691,18691.000004103178,0.013558199187441505,1.3558199187441504
32,Algeria,47022473,22570787,19185169,752360,325000,135000,150000,608,102,42,63,87,10,5,299,74,1485,26000,224,483,266,110,82880,0,0,6,0,8,8,75,2,25000000000,3335624000,699947000000,81217000000,85,13425000,17,4020,104000,1443000,428000,12200000000,100726000000,47963000000,4504000000000,0,167000,233000000,2381740,998,6734,0,Nairobi,5119000,26,2025,Non-NATO,Africa,North Africa,269322281664.773,25,209,28576,28576.000004444682,0.09282559112995205,9.282559112995205
33,Argentina,46994384,20677529,17575900,704916,108000,0,20000,239,23,11,52,71,13,2,94,0,342,21724,55,172,26,44,122128,0,0,2,3,0,6,13,0,928897000,178940000000,1235000000000,23081000000,756,21906000,37,17866,281290,807000,706000,2483000000,43280000000,46228000000,396464000000,1318000,3391000,799999000,2780400,4989,11968,11000,Brasilia,4804000,33,2025,Non-NATO,South America,South America,649461687959.174,32,68,22477,22477.00000144698,0.001430256806862473,0.1430256806862473
34,Iraq,42083436,17675043,14308368,715418,193000,0,100000,391,26,36,15,139,17,0,197,39,1025,37288,434,610,572,68,0,0,0,0,0,0,2,26,0,7923000000,45032500000,572939000000,112233000000,71,11812000,6,2272,59623,4437000,918000,145019000000,9860000000,19298000000,3729000000000,0,0,0,438317,58,3809,5279,Kabul,4435000,43,2025,Non-NATO,Asia,Middle East,287372232137.931,42,96,39314,39314.00000228118,0.02757051348022091,2.757051348022091
35,Afghanistan,40121552,15647405,8826741,842553,0,0,80000,9,0,0,3,0,0,0,6,1,0,5202,0,0,0,0,0,0,0,0,0,0,0,0,0,290000000,1142500000,54772700000,8852092000,67,8921000,0,0,34903,0,2700,0,80200000,80200000,49554000000,4885000,1545000,66000000,652230,0,5987,1200,Rome,4298000,118,2025,Non-NATO,Asia,,20497128555.6972,117,0,5211,5211.0,0.014148323225469266,1.4148323225469266
36,Canada,38794813,16681770,13500595,426743,68000,27000,5500,351,66,0,28,95,33,6,145,0,74,21704,0,0,0,73,119637,0,0,4,0,12,0,24,0,41000000000,2337375700000,2238000000000,117551000000,1425,22110000,284,4942,1042300,5692000,2454000,170300000000,187686000000,130316000000,2067126000000,43024000,17138000,6582000000,9984670,202080,8893,636,Yaounde,4164000,28,2025,NATO,North America,North America,2243636826633.76,27,113,22129,22129.000002912762,0.01827390222575119,1.827390222575119
37,Poland,38746310,18985692,15576017,464956,202100,350000,50000,479,59,44,49,105,11,0,216,29,614,23138,677,0,196,62,0,0,0,1,0,2,2,3,26,48700000000,386947000000,1616000000000,193783000000,288,18387000,10,19461,420000,24000,722000,113000000,5551000000,20056000000,91492000000,116682000,123782000,28531000000,312685,440,2845,3997,Kampala,3846000,21,2025,NATO,Europe,Eastern Europe,917767106146.761,20,96,24231,24231.000002477656,0.053063571001652717,5.306357100165272
38,Morocco,37387585,17946041,15254135,635589,195800,150000,50000,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,0,0,0,0,0,6,1,105,0,13400000000,45645000000,337480000000,36328000000,49,12284000,12,2067,57300,25,318000,684000,82595000,243201000,1444000000,0,11940000,96000000,715550,1835,2363,0,Abuja,3840000,59,2025,Non-NATO,Africa,North Africa,160610994054.734,58,223,9193,9193.000005964546,0.08343139944351173,8.343139944351172
39,Angola,37202061,7440412,3720206,372021,107000,0,10000,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,0,0,0,0,0,0,0,29,0,1101360000,45774500000,265868000000,13942000000,106,15223000,21,2761,26000,1175000,127000,7783000000,5514000000,1397000000,343002000000,0,0,0,1246700,1600,5369,1300,Antananarivo,3700000,56,2025,Non-NATO,Africa,,153449860496.402,55,60,6682,6682.000001612814,0.007177328128140097,0.7177328128140097
40,Saudi Arabia,36544431,19003104,17468238,621255,257000,0,150000,917,283,81,49,202,16,22,264,34,840,19040,332,467,321,32,49727,0,0,0,0,7,9,9,3,74760000000,225610000000,1831000000000,457949000000,86,16934000,16,5410,221372,11113000,3649000,258600000000,121870000000,121870000000,9423000000000,0,164000,0,2149690,2640,4272,0,Berlin,3571000,24,2025,Non-NATO,Asia,Middle East,1239804533333.33,23,60,21264,21264.000001641838,0.06029982790835647,6.029982790835646
41,Uzbekistan,36520593,18990708,15959499,730412,48000,0,20000,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,0,0,0,0,0,0,0,0,0,2803500000,19652500000,319174000000,34558000000,74,14270000,0,4642,86496,64000,91000,594000000,47500000000,43227000000,1841000000000,5356000,7396000,1375000000,447400,420,6893,1100,Asuncion,3511000,58,2025,Non-NATO,Asia,,114965293466.611,57,0,3738,3738.0,0.024385620350842768,2.438562035084277
42,Ukraine,35661826,18187531,12731272,392280,900000,1200000,100000,324,70,36,24,73,3,0,136,39,1114,18920,658,615,279,89,28138,0,0,0,0,0,0,33,3,53700000000,132000000000,559981000000,40510000000,148,20312000,26,21733,169694,3000,248000,395000000,18725000000,22856000000,1104000000000,4248000,10953000,34375000000,603550,2782,5581,1672,Santo Domingo,3458000,20,2025,Non-NATO,Europe,Eastern Europe,199765859570.935,19,125,20973,20973.00000350515,0.26881470194826573,26.881470194826573
43,Ghana,34589092,14873310,9961658,622604,15500,0,0,19,0,0,2,5,2,0,10,0,0,1824,0,6,6,28,0,0,0,0,0,0,0,27,0,308500000,22550000000,229639000000,3624000000,11,14887000,4,947,65725,174000,110000,660000000,3192000000,3912000000,22653000000,0,85000,0,238533,539,2420,1293,Dakar,3340000,110,2025,Non-NATO,Africa,Sub-Saharan Africa,82308110386.4641,109,55,1849,1849.0000015900966,0.003748111802731096,0.3748111802731096
44,Malaysia,34564810,16245461,13480276,553037,113000,51600,100000,135,26,12,16,31,6,4,45,0,48,13506,0,196,36,100,67735,0,0,2,0,2,6,71,4,4800000000,247500000000,1152000000000,113438000000,102,17308000,35,1851,144403,582000,717000,3600000000,75456000000,42499000000,1189000000000,3731000,35050000,226000000,329847,4675,2742,7200,Sanaa,3292000,42,2025,Non-NATO,Asia,Southeast Asia,422227005428.688,41,185,13885,13885.000005352264,0.011368292265262734,1.1368292265262734
45,Mozambique,33350954,14674420,7770772,533615,11200,0,3000,22,8,0,4,1,1,0,8,2,30,872,0,52,6,33,0,0,0,0,0,0,0,33,0,412400000,12100000000,50631000000,3515000000,92,15191000,11,4787,31083,0,40000,0,5388000000,1347000000,2832000000000,9015000,11000,1792000000,799380,2470,4783,460,Kuwait,3239000,89,2025,Non-NATO,Africa,,22745341305.0622,88,66,976,976.0000019789538,0.018131185391718714,1.8131185391718714
46,Peru,32600249,15648120,12681497,619405,120000,385000,60000,256,15,22,38,72,12,0,111,16,240,6560,12,290,49,71,170344,0,0,4,0,7,8,13,0,3420000000,59400000000,517644000000,71394000000,166,18529000,20,1855,18699,118000,210000,858890000,12270000000,7185000000,300159000000,153000,712000,1567000000,1285216,2414,7062,8808,Lusaka,3181000,49,2025,Non-NATO,South America,South America,289221969062.941,48,103,7346,7346.0000031594855,0.01182482786864553,1.182482786864553
47,Yemen,32140443,12213368,9031464,610668,66700,0,20000,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,0,0,0,0,0,0,1,12,1,810375000,6343500000,67003300000,923361750,36,6883000,10,0,71300,15000,60000,3000000000,189432000,189432000,478555000000,0,165000,0,527968,1906,1601,0,Pyongyang,3158000,85,2025,Non-NATO,,,21606160000.0,84,47,649,649.0000014623321,0.03750666476597415,3.7506664765974147
48,Venezuela,31250306,15625153,12812625,625006,109000,8000,220000,229,30,0,49,75,3,1,88,10,172,8802,48,100,36,34,0,0,0,1,0,1,0,25,0,4093120000,110330000000,295974800000,10095500000,502,11548000,31,447,96189,761000,367000,303806000000,17696000000,17696000000,5674000000000,197000,82000,730999000,912050,2800,5267,7100,Athens,3154000,50,2025,Non-NATO,South America,,119803000000.0,49,61,9303,9303.000001951981,0.03416542156707261,3.416542156707261
49,Nepal,31122387,15249970,11733140,778060,95000,0,15000,15,0,0,5,0,0,0,10,0,0,1108,0,14,0,0,0,0,0,0,0,0,0,0,0,409100000,5838500000,144310000000,12456000000,51,8937000,0,59,27990,0,62000,0,0,0,0,15000,1095000,8000000,147181,0,3159,0,Ouagadougou,3056000,126,2025,Non-NATO,Asia,South Asia,42914268286.7109,125,0,1137,1137.0,0.0095329599299421,0.95329599299421
50,Cameroon,30966105,10528476,6224187,495458,40000,0,12500,35,0,0,6,6,2,0,21,0,0,430,18,52,20,51,0,0,0,0,0,0,0,51,0,554952283,9506000000,138925000000,5754093000,37,11965000,7,987,77589,54000,40000,200000000,2595000000,877058000,135071000000,0,0,0,475440,400,5018,0,Guatemala City,3036000,93,2025,Non-NATO,Africa,,53296694320.2057,92,102,517,517.0000032939241,0.010412508506922689,1.0412508506922689
51,Ivory Coast,29981758,12292521,7855221,569653,22000,0,5500,19,0,0,4,2,3,0,10,3,5,656,0,2,3,3,0,0,0,0,0,0,0,3,0,669600935,19311500000,202758000000,7583484000,29,10954000,5,660,81996,29000,60000,100000000,2635000000,2635000000,28317000000,0,0,0,322463,515,3458,980,Lisbon,3001000,102,2025,Non-NATO,Africa,,87113180000.0,101,6,682,682.0000002001217,0.007686562871427722,0.7686562871427721
52,Madagascar,29452714,11192031,7952233,559602,13500,0,8100,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,0,0,0,0,0,0,0,4,0,112210000,3028500000,51255000000,2632000000,91,15830000,13,836,31640,0,19000,0,0,0,0,0,511000,150000000,587040,4828,0,600,Caracas,2972000,130,2025,Non-NATO,Africa,,17420501490.1231,129,10,178,178.00000033952728,0.006441261180891933,0.6441261180891933
53,Australia,26768598,11242811,9208398,294455,57350,32050,0,327,24,62,38,98,30,6,69,22,59,15648,0,48,0,44,185648,0,2,6,3,7,0,10,3,55700000000,3427504300000,1584000000000,61703000000,2180,14501000,66,36064,873573,386000,1123000,2446000000,153783000000,50188000000,3228000000000,465865000,107624000,150227000000,7741220,25760,0,2000,Kyiv,2884000,18,2025,Non-NATO,Oceania,Oceania,1757022451652.83,17,75,16082,16082.000002801791,0.03170135927836496,3.1701359278364962
