country,rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,capital_cities_by_total_population,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage,year,capital_city,continent,alliance,region
Azerbaijan,60,10650239,5218617,3908638,159754,126400,300000,15000,0,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,0,0,0,4,0,0,0,17,4,5000000000,16159500000,2.16E+11,13749000000,32,5473000,0,2944,24981,618000,105000,7000000000,34175000000,11759000000,1.7E+12,0,60000,0,86600,713,2468,0,2025,Baku,Asia/Europe,Non-NATO,Europe & Central Asia
Belgium,61,11977634,4910830,3880753,119776,25000,6400,0,0,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,10190,0,0,0,0,2,0,2,5,10200000000,1.45E+12,7.52E+11,40813000000,49,5432000,7,3602,118414,11000,585000,0,13436000,15347000000,0,1270000,4869000,4100000000,30528,67,1297,2043,2025,Brussels,Europe,NATO,Europe & Central Asia
Bulgaria,62,6782659,3187850,2611324,61044,37000,3000,0,0,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,0,0,0,0,0,4,3,0,10,1373232000,27138500000,2.14E+11,46334000000,111,3103000,2,4029,19512,4000,101000,15000000,20837000,2801000000,5663000000,35516000,35970000,2366000000,110880,354,1806,470,2025,Sofia,Europe,Non-NATO,Europe & Central Asia
Serbia,63,6652212,3259584,2574406,79827,25000,2000,600000,0,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,0,0,0,0,0,0,0,7,5,2287461000,35200000000,1.62E+11,27569000000,43,3333000,0,3333,44248,13000,82000,77500000,353376000,2939000000,48139000000,35129000,38297000,7514000000,77474,0,2322,587,2025,Belgrade,Europe,Non-NATO,Europe & Central Asia
Syria,64,23865423,15273871,13245310,668232,170000,50000,50000,0,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,0,0,0,0,0,0,0,16,4,291850000,4309500000,55935900000,341962500,39,6315000,3,2052,69873,75000,138000,2500000000,3085000000,3084000000,2.41E+11,0,47000,0,187437,193,2363,900,2025,Damascus,Asia,Non-NATO,Middle East & North Africa
Ecuador,65,18309984,8422593,6738074,329580,41250,118000,1500,0,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,0,0,0,2,0,2,6,5,0,2376000000,44898000000,2.6E+11,4442000000,310,8893000,6,965,43950,480000,225000,8273000000,309778000,309778000,10902000000,0,21000,24000000,283560,2237,2237,1500,2025,Quito,South America,Non-NATO,Latin America & Caribbean
Democratic Republic of the Congo,66,115403027,39237029,31389623,2538867,166580,31000,10000,0,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,0,0,0,0,0,0,0,16,0,796560000,4994000000,1.54E+11,3898125000,272,35983000,3,4007,152373,19000,26000,180000000,380000,380000,991090000,0,23000,987999000,2344858,37,10481,15000,2025,Kinshasa,Africa,Non-NATO,Sub-Saharan Africa
Cuba,67,10966038,5921661,4737328,142558,45500,40000,1145000,0,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,0,0,0,0,0,1,1,6,4,4508784000,33066000000,1.41E+11,10442000000,123,5317000,34,8367,60000,34000,165000,124000000,659434000,659434000,70792000000,0,2000,0,110860,3735,29,240,2025,Havana,North America,Non-NATO,Latin America & Caribbean
Austria,68,8967982,4035592,3632033,98648,16000,125600,0,0,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,0,0,0,0,0,0,0,0,0,5475750000,6.3E+11,5.9E+11,31212000000,61,4825000,0,6123,137039,18000,245000,35200000,618209000,8136000000,5040000000,1271000,5026000,0,83871,0,2524,358,2025,Vienna,Europe,Others,Europe & Central Asia
Sri Lanka,69,21982608,10551652,8551235,307757,346000,90000,0,0,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,27136,0,0,0,0,5,0,59,0,1265400000,46409500000,2.87E+11,3450700000,18,8707000,6,1562,114093,0,121000,0,0,0,0,0,2084000,0,65610,1340,0,160,2025,Sri Jayawardenepura Kotte,Asia,Non-NATO,South Asia
